,start,stop,strand,gene_name,length,operon
b0050,51229,51606,-,apaG,377,apaGH 
b0051,51609,52430,-,rsmA,821,pdxA-rsmA 
b0052,52427,53416,-,pdxA,989,imp-surA-pdxA 
b0053,53416,54702,-,surA,1286,imp-surA-pdxA 
b0054,54755,57109,-,lptD,2354,imp-surA-pdxA 
b0055,57364,58179,+,djlA,815,djlA
b0056,58474,59124,+,yabP,650,yabPQ
b0057,59121,59279,+,yabQ,158,yabPQ
b0058,59687,60346,-,rluA,659,rapA-rluA
b0059,60358,63264,-,rapA,2906,hepA 
b0060,63429,65780,-,polB,2351,polB
b0061,65855,66550,-,araD,695,araBAD
b0062,66835,68337,-,araA,1502,araBAD
b0063,68348,70048,-,araB,1700,araBAD
b0064,70387,71265,+,araC,878,araC
b0065,71351,72115,+,yabI,764,yabI
b0066,72229,72927,-,thiQ,698,sgrR-sroA-thiBPQ
b0067,72911,74521,-,thiP,1610,sgrR-sroA-thiBPQ
b0068,74497,75480,-,thiB,983,sgrR-sroA-thiBPQ
b0069,75644,77299,-,sgrR,1655,sgrR-sroA-thiBPQ
b0070,77621,78799,+,setA,1178,sgrST-setA 
b0071,78848,79453,-,leuD,605,leuLABCD 
b0072,79464,80864,-,leuC,1400,leuLABCD 
b0073,80867,81958,-,leuB,1091,leuLABCD 
b0074,81958,83529,-,leuA,1571,leuLABCD 
b0075,83622,83708,-,leuL,86,leuL 
b0076,84368,85312,+,leuO,944,leuO 
b0077,85630,87354,+,ilvI,1724,ilvIH 
b0078,87357,87848,+,ilvH,491,ilvIH 
b0079,87860,87946,+,fruL,86,
b0080,88028,89032,+,cra,1004,cra
b0081,89634,90092,+,mraZ,458,mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
b0082,90094,91035,+,rsmH,941,mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 
b0083,91032,91397,+,ftsL,365,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 
b0084,91413,93179,+,ftsI,1766,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 
b0085,93166,94653,+,murE,1487,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 
b0086,94650,96008,+,murF,1358,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 
b0087,96002,97084,+,mraY,1082,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 
b0088,97087,98403,+,murD,1316,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 
b0089,98403,99647,+,ftsW,1244,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 
b0090,99644,100711,+,murG,1067,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 
b0091,100765,102240,+,murC,1475,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 
b0092,102233,103153,+,ddlB,920,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 
b0093,103155,103985,+,ftsQ,830,ftsQAZ 
b0094,103982,105244,+,ftsA,1262,ftsQAZ 
b0095,105305,106456,+,ftsZ,1151,ftsQAZ 
b0096,106557,107474,+,lpxC,917,lpxC 
b0097,107705,108217,+,secM,512,secMA-mutT
b0098,108279,110984,+,secA,2705,secMA-mutT
b0099,111044,111433,+,mutT,389,secMA-mutT
b0100,111564,111698,-,b0100,134,
b0101,111649,111846,-,yacG,197,yacG 
b0102,111856,112599,-,zapD,743,coaE-zapD-yacG
b0103,112599,113219,-,coaE,620,coaE-zapD-yacG
b0104,113444,114487,+,guaC,1043,guaC
b0105,114407,114514,-,b0105,107,
b0106,114522,115724,-,hofC,1202,ppdD-hofBC
b0107,115714,117099,-,hofB,1385,ppdD-hofBC
b0108,117109,117549,-,ppdD,440,ppdD-hofBC
b0109,117752,118645,-,nadC,893,nadC
b0110,118733,119284,+,ampD,551,ampDE
b0111,119281,120135,+,ampE,854,ampDE
b0112,120178,121551,-,aroP,1373,aroP 
b0113,122092,122856,+,pdhR,764,pdhR-aceEF-lpdA 
b0114,123017,125680,+,aceE,2663,aceEF 
b0115,125695,127587,+,aceF,1892,aceEF 
b0116,127912,129336,+,lpd,1424,pdhR-aceEF-lpdA 
b0117,129407,131260,-,yacH,1853,yacH
b0118,131615,134212,+,acnB,2597,acnB 
b0119,134388,134750,+,yacL,362,yacL
b0120,134788,135582,-,speD,794,speD 
b0121,135598,136464,-,speE,866,speE 
b0122,136570,136917,-,yacC,347,yacC-speED
b0123,137083,138633,+,cueO,1550,cueO
b0124,138835,141225,-,gcd,2390,gcd 
b0125,141431,141967,+,hpt,536,hpt
b0126,142008,142670,-,can,662,can 
b0127,142779,143705,+,yadG,926,yadGH
b0128,143702,144472,+,yadH,770,yadGH
b0129,144577,145017,+,yadI,440,yadI
b0130,145081,146310,+,yadE,1229,yadE
b0131,146314,146694,-,panD,380,panD 
b0132,146968,147870,+,rpnC,902,yadD
b0133,147944,148795,-,panC,851,panBC
b0134,148807,149601,-,panB,794,panBC
b0135,149715,150953,-,yadC,1238,yadMLKC 
b0136,151003,151599,-,yadK,596,yadMLKC
b0137,151626,152231,-,yadL,605,yadMLKC
b0138,152243,152812,-,yadM,569,yadMLKC
b0139,152829,155426,-,htrE,2597,yadV-htrE 
b0140,155461,156201,-,yadV,740,yadV-htrE 
b0141,156299,156883,-,yadN,584,yadN
b0142,157253,157732,-,folK,479,pcnB-folK 
b0143,157729,159126,-,pcnB,1397,pcnB-folK 
b0144,159186,160112,-,gluQ,926,dksA-gluQ 
b0145,160149,160604,-,dksA,455,dksA-gluQ 
b0146,160782,161486,-,sfsA,704,sfsA-dksA
b0147,161501,162031,-,thpR,530,ligT
b0148,162105,164534,+,hrpB,2429,hrpB
b0149,164730,167264,+,mrcB,2534,mrcB
b0150,167484,169727,+,fhuA,2243,fhuACDB
b0151,169778,170575,+,fhuC,797,fhuACDB
b0152,170575,171465,+,fhuD,890,fhuACDB
b0153,171462,173444,+,fhuB,1982,fhuACDB
b0154,173602,174882,-,hemL,1280,hemL 
b0155,175107,176528,+,clcA,1421,clcA
b0156,176610,176954,+,erpA,344,erpA
b0157,177001,177624,-,yadS,623,mnt-btuF-yadS 
b0158,177662,178462,-,btuF,800,mnt-btuF-yadS 
b0159,178455,179153,-,mtn,698,mnt-btuF-yadS 
b0160,179237,180754,+,dgt,1517,dgt 
b0161,180884,182308,+,degP,1424,degP
b0162,182463,183620,+,cdaR,1157,cdaR
b0163,183709,184095,-,yaeH,386,yaeH
b0164,184257,185069,-,yaeI,812,yaeI
b0165,184987,185118,-,b0165,131,
b0166,185123,185947,-,dapD,824,map-glnD-dapD 
b0167,185978,188650,-,glnD,2672,glnD 
b0168,188712,189506,-,map,794,map-glnD-dapD
b0169,189874,190599,+,rpsB,725,rpsB-tsf
b0170,190857,191708,+,tsf,851,rpsB-tsf
b0171,191855,192580,+,pyrH,725,pyrH
b0172,192872,193429,+,frr,557,frr
b0173,193521,194717,+,dxr,1196,dxr-uppS-cdsA
b0174,194903,195664,+,ispU,761,dxr-uppS-cdsA 
b0175,195677,196534,+,cdsA,857,uppS-cdsA 
b0176,196546,197898,+,rseP,1352,rseP
b0177,197928,200360,+,bamA,2432,bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE 
b0178,200482,200967,+,skp,485,bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE 
b0179,200971,201996,+,lpxD,1025,bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE 
b0180,202101,202556,+,fabZ,455,bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE 
b0181,202560,203348,+,lpxA,788,bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE 
b0182,203348,204496,+,lpxB,1148,bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE
b0183,204493,205089,+,rnhB,596,bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE
b0184,205126,208608,+,dnaE,3482,bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE
b0185,208621,209580,+,accA,959,accA 
b0186,209679,211820,+,ldcC,2141,ldcC
b0187,211877,212266,+,yaeR,389,yaeR
b0188,212331,213629,+,tilS,1298,tilS
b0189,213678,213932,-,rof,254,yaeP-rof
b0190,214291,214836,+,yaeQ,545,yaeQ-arfB-nlpE
b0191,214833,215255,+,arfB,422,yaeQ-arfB-nlpE
b0192,215269,215979,+,nlpE,710,yaeQ-arfB-nlpE
b0193,216179,217003,-,yaeF,824,yaeF
b0194,217057,218775,-,proS,1718,proS
b0195,218887,219594,-,trmO,707,rcsF-trmO
b0196,219591,219995,-,rcsF,404,rcsF-trmO
b0197,220113,220928,-,metQ,815,metNIQ
b0198,220968,221621,-,metI,653,metNIQ
b0199,221614,222645,-,metN,1031,metNIQ
b0200,222833,223408,+,gmhB,575,gmhB
b0201,223771,225312,+,rrsH,1541,rrsH-ileV-alaV-rrlH-rrfH 
b0202,225381,225457,+,ileV,76,rrsH-ileV-alaV-rrlH-rrfH 
b0203,225500,225575,+,alaV,75,rrsH-ileV-alaV-rrlH-rrfH 
b0204,225759,228662,+,rrlH,2903,rrsH-ileV-alaV-rrlH-rrfH 
b0205,228756,228875,+,rrfH,119,rrsH-ileV-alaV-rrlH-rrfH 
b0206,228928,229004,+,aspU,76,aspU
b0207,229167,229970,+,dkgB,803,dkgB
b0208,229967,230881,-,yafC,914,yafC
b0209,231122,231922,+,yafD,800,yafDE
b0210,231926,232549,+,yafE,623,yafDE
b0211,232597,233955,-,mltD,1358,mltD
b0212,234027,234782,-,gloB,755,gloB
b0213,234816,235538,+,yafS,722,yafS
b0214,235535,236002,-,rnhA,467,rnhA
b0215,236067,236798,+,dnaQ,731,dnaQ 
b0216,236931,237007,+,aspV,76,aspV
b0217,237335,238120,+,yafT,785,yafT
b0218,238746,239084,-,yafU,338,yafU
b0219,239419,240189,-,yafV,770,yafV
b0220,240343,240816,+,ivy,473,ivy
b0221,240859,243303,-,fadE,2444,fadE
b0222,243543,244121,+,gmhA,578,gmhA
b0223,244327,245094,+,yafJ,767,yafJ
b0224,245065,245805,-,ldtF,740,ldtF
b0225,245961,246239,-,yafQ,278,dinJ-yafQ
b0226,246242,246502,-,dinJ,260,dinJ-yafQ
b0227,246712,247461,+,yafL,749,yafL
b0228,247637,248134,+,rayT,497,rayT
b0229,248358,250070,-,lfhA,1712,lfhA
b0230,250072,250827,+,lafU,755,lafU
b0231,250898,251953,+,dinB,1055,dinB-yafNOP 
b0232,252005,252298,+,yafN,293,dinB-yafNOP 
b0233,252301,252699,+,yafO,398,dinB-yafNOP 
b0234,252709,253161,+,yafP,452,dinB-yafNOP 
b0235,253467,253733,+,ykfJ,266,ykfJ-prfH
b0236,253702,254202,+,prfH,500,ykfJ-prfH
b0237,254259,255716,-,pepD,1457,pepD 
b0238,255977,256435,+,gpt,458,gpt
b0239,256527,257771,+,frsA,1244,frsA
b0240,,,+,crl,0,
b0241,259045,260100,-,phoE,1055,phoE
b0242,260388,261491,+,proB,1103,proBA
b0243,261503,262756,+,proA,1253,proBA
b0244,262871,262946,+,thrW,75,thrW
b0245,263328,263669,-,ykfI,341,ykfBF-yafX-ykfGH-yafW-ykfI 
b0246,263690,264007,-,yafW,317,ykfBF-yafX-ykfGH-yafW-ykfI 
b0247,264256,264732,-,ykfG,476,ykfBF-yafX-ykfGH-yafW-ykfI 
b0248,264748,265206,-,yafX,458,ykfBF-yafX-ykfGH-yafW-ykfI 
b0249,265304,265543,-,ykfF,239,ykfBF-yafX-ykfGH-yafW-ykfI 
b0250,265620,266087,-,ykfB,467,ykfBF-yafX-ykfGH-yafW-ykfI 
b0251,266110,266553,-,yafY,443,yafY-ykfBF-yafX-ykfGH-yafW-ykfI
b0252,267184,268005,-,yafZ,821,yafZ 
b0253,268097,268960,-,ykfA,863,ykfA-yafZ
b0254,269289,270182,-,perR,893,perR
b0256,270603,271754,+,insI1,1151,insN-1p 
b0258,272847,273992,+,ykfC,1145,ykfC
b0259,274101,275081,-,insH1,980,insH-1
b0260,275325,276728,+,mmuP,1403,mmuPM
b0261,276715,277647,+,mmuM,932,mmuPM
b0262,277756,278802,-,afuC,1046,insA2B2AB2-afuBC
b0263,278814,279162,-,afuB,348,insA2B2AB2-afuBC
b0264,279178,279681,-,insB2,503,insA2B2AB2-afuBC
b0265,279600,279875,-,insA2,275,insA2B2AB2-afuBC
b0266,280385,280735,-,yagB,350,yagAB-insX
b0267,280829,281983,-,yagA,1154,yagAB-insX
b0268,282278,283186,+,yagE,908,yagEF
b0269,283201,285168,+,yagF,1967,yagEF
b0270,285395,286777,+,yagG,1382,yagGH
b0271,286789,288399,+,yagH,1610,yagGH
b0272,288404,289162,-,xynR,758,xynR
b0273,289301,290305,-,argF,1004,argF
b0274,290649,291152,-,insB3,503,insA3B3AB3
b0275,291071,291346,-,insA3,275,insA3B3AB3
b0276,291500,292231,+,yagJ,731,yagJ
b0277,292322,292948,-,yagK,626,yagK
b0278,293220,293918,-,yagL,698,yagML
b0279,293945,294799,-,yagM,854,yagML
b0280,295139,295579,-,yagN,440,yagN
b0281,295696,297096,-,intF,1400,intF
b0282,297381,297791,-,yagP,410,yagP
b0283,297770,298726,-,paoD,956,paoABCD
b0284,298736,300934,-,paoC,2198,paoABCD
b0285,300931,301887,-,paoB,956,paoABCD
b0286,301884,302573,-,paoA,689,paoABCD
b0287,302991,303605,+,yagU,614,yagU
b0288,303853,304182,-,ykgJ,329,ykgJ
b0289,304495,305205,-,ecpE,710,ecpBCDE 
b0290,305174,306817,-,ecpD,1643,ecpBCDE 
b0291,306807,309332,-,ecpC,2525,ecpBCDE 
b0292,309358,310026,-,ecpB,668,ecpBCDE 
b0293,310084,310671,-,ecpA,587,ecpA
b0294,310746,311336,-,matA,590,ecpR
b0295,312112,312339,+,ykgL,227,ykgL
b0296,312514,312777,-,ykgM,263,ykgMO
b0297,314357,315244,+,eaeH,887,eaeH-insE1EF1F1
b0298,315291,315590,+,insE1,299,eaeH-insE1EF1F1
b0299,315587,316453,+,insF1,866,eaeH-insE1EF1F1
b0300,316450,317136,-,ykgA,686,ykgA
b0301,317726,318319,-,rclC,593,rclABC 
b0303,318331,318567,-,rclB,236,rclABC 
b0304,318676,320001,-,rclA,1325,rclABC
b0305,320227,321081,+,rclR,854,rclR
b0306,321608,322327,+,ykgE,719,ykgEFG
b0307,322338,323765,+,ykgF,1427,ykgEFG
b0308,323758,324453,+,ykgG,695,ykgEFG
b0309,324408,324620,-,b0309,212,
b0310,324696,325364,-,ykgH,668,ykgH
b0311,325577,327247,-,betA,1670,betIBA
b0312,327261,328733,-,betB,1472,betIBA
b0313,328747,329334,-,betI,587,betIBA
b0314,329463,331496,+,betT,2033,betT
b0315,332371,333459,+,pdeL,1088,pdeL 
b0316,333501,334433,-,yahB,932,yahB
b0317,334525,335022,-,yahC,497,yahC
b0318,335280,335885,+,yahD,605,yahDEFG
b0319,335925,336788,+,yahE,863,yahE 
b0320,336778,338325,+,yahF,1547,yahDEFG
b0321,338325,339743,+,yahG,1418,yahDEFG
b0322,339769,340089,+,yahH,320,yahH
b0323,340165,341115,+,yahI,950,yahIJ
b0324,341125,342507,+,yahJ,1382,yahIJ
b0325,342884,343933,+,yahK,1049,yahK
b0326,344176,344991,+,yahL,815,yahL
b0327,345404,345649,+,yahM,245,yahM
b0328,345666,346337,-,yahN,671,yahN
b0329,346484,346759,+,yahO,275,yahO
b0330,346857,348443,-,prpR,1586,prpR
b0331,348682,349572,+,prpB,890,prpBCDE
b0333,350012,351181,+,prpC,1169,prpBCDE
b0334,351215,352666,+,prpD,1451,prpBCDE
b0335,352706,354592,+,prpE,1886,prpBCDE
b0336,354922,356181,+,codB,1259,codBA
b0337,356171,357454,+,codA,1283,codBA
b0338,357791,358690,-,cynR,899,cynR
b0339,358799,359458,+,cynT,659,cynTS 
b0340,359489,359959,+,cynS,470,cynTS 
b0341,359992,361146,+,cynX,1154,cynTSX
b0342,361249,361860,-,lacA,611,lacYA 
b0343,361926,363179,-,lacY,1253,lacYA 
b0344,363231,366305,-,lacZ,3074,lacZYA 
b0345,366428,367510,-,lacI,1082,mhpR-lacI 
b0346,367587,368420,-,mhpR,833,mhpR-lacI 
b0347,368611,370275,+,mhpA,1664,mhpABCDFE
b0348,370277,371221,+,mhpB,944,mhpABCDFE
b0349,371239,372105,+,mhpC,866,mhpABCDFE
b0350,372115,372924,+,mhpD,809,mhpABCDFE
b0351,372921,373871,+,mhpF,950,mhpABCDFE
b0352,373868,374881,+,mhpE,1013,mhpABCDFE
b0353,375459,376670,+,mhpT,1211,mhpT
b0354,376772,377311,+,yaiL,539,yaiL
b0355,377535,378368,-,frmB,833,frmRAB
b0356,378462,379571,-,frmA,1109,frmRAB
b0357,379606,379881,-,frmR,275,frmRAB
b0358,380069,380842,-,yaiO,773,yaiO
b0360,381351,381716,+,insC1,365,insC1CD1D1
b0361,381674,382579,+,insD1,905,insC1CD1D1
b0363,382739,383935,-,yaiP,1196,yaiP
b0364,384059,384616,-,yaiS,557,yaiS
b0365,385232,386194,+,tauA,962,tauABCD
b0366,386207,386974,+,tauB,767,tauABCD
b0367,386971,387798,+,tauC,827,tauABCD
b0368,387795,388646,+,tauD,851,tauABCD
b0369,388753,389727,-,hemB,974,hemB
b0370,389897,390115,-,ykiB,218,
b0372,391739,392605,-,insF2,866,insE2F2EF2
b0373,392602,392901,-,insE2,299,insE2F2EF2
b0375,394506,395129,+,iprA,623,iprA
b0376,395130,396287,-,ampH,1157,ampH 
b0377,396639,397859,+,sbmA,1220,sbmA-yaiW
b0378,397872,398966,+,yaiW,1094,sbmA-yaiW
b0379,399025,399333,-,yaiY,308,yaiY
b0380,399593,399805,+,yaiZ,212,yaiZ
b0381,399829,400923,-,ddlA,1094,ddlA
b0382,401386,401646,+,iraP,260,iraP 
b0383,401747,403162,+,phoA,1415,phoA-psiF
b0384,403281,403601,+,psiF,320,psiF 
b0385,403703,404818,+,dgcC,1115,adrA
b0386,404835,405644,-,proC,809,proC
b0387,405764,406222,+,yaiI,458,yaiI
b0388,406405,406929,+,aroL,524,aroL-yaiA-aroM 
b0389,406979,407170,+,yaiA,191,aroL-yaiA-aroM 
b0390,407428,408105,+,aroM,677,aroM 
b0391,408177,408461,+,ppnP,284,ppnP
b0392,408609,408950,+,ykiA,341,ykiA
b0393,409108,410019,-,rdgC,911,rdgC
b0394,410144,411052,+,mak,908,mak
b0396,411297,412481,-,araJ,1184,araJ
b0397,412607,415753,-,sbcC,3146,sbcDC
b0398,415750,416952,-,sbcD,1202,sbcDC
b0399,417142,417831,+,phoB,689,phoBR
b0400,417889,419184,+,phoR,1295,phoBR
b0401,419591,420910,+,brnQ,1319,brnQ-proY
b0402,420986,422359,+,proY,1373,brnQ-proY
b0403,422518,424332,+,malZ,1814,malZ
b0404,424337,424918,-,acpH,581,acpH
b0405,425011,426081,+,queA,1070,queA
b0406,426137,427264,+,tgt,1127,tgt-yajC
b0407,427287,427619,+,yajC,332,tgt-yajC 
b0408,427647,429494,+,secD,1847,yajC-secDF
b0409,429505,430476,+,secF,971,yajC-secDF
b0410,430605,430952,+,yajD,347,yajD
b0411,431129,432013,-,tsx,884,tsx 
b0412,432312,432851,-,yajI,539,yajI
b0413,433002,433451,+,nrdR,449,nrdR-ribDE-nusB-thiL-pgpA
b0414,433455,434558,+,ribD,1103,nrdR-ribDE-nusB-thiL-pgpA
b0415,434647,435117,+,ribE,470,ribE-nusB-thiL-pgpA 
b0416,435137,435556,+,nusB,419,ribE-nusB-thiL-pgpA 
b0417,435634,436611,+,thiL,977,ribE-nusB-thiL-pgpA 
b0418,436589,437107,+,pgpA,518,ribE-nusB-thiL-pgpA 
b0419,437161,438135,-,yajO,974,yajO 
b0420,438315,440177,-,dxs,1862,xseB-ispA-dxs-yajO
b0421,440202,441101,-,ispA,899,xseB-ispA-dxs-yajO
b0422,441101,441343,-,xseB,242,xseB-ispA-dxs-yajO
b0423,441549,442997,+,thiI,1448,thiI
b0424,443051,443641,-,yajL,590,panE-yajL
b0425,443604,444515,-,panE,911,panE-yajL
b0426,444683,445174,+,yajQ,491,yajQ
b0427,445302,446666,-,yajR,1364,yajR
b0428,446815,447705,-,cyoE,890,cyoABCDE
b0429,447717,448046,-,cyoD,329,cyoABCDE
b0430,448046,448660,-,cyoC,614,cyoABCDE
b0431,448650,450641,-,cyoB,1991,cyoABCDE
b0432,450663,451610,-,cyoA,947,cyoABCDE
b0433,452070,453545,-,ampG,1475,yajG-ampG 
b0434,453589,454167,-,yajG,578,yajG-ampG 
b0435,454472,454789,+,bolA,317,bolA 
b0436,455133,456431,+,tig,1298,tig 
b0437,456677,457300,+,clpP,623,clpPX 
b0438,457426,458700,+,clpX,1274,clpPX 
b0439,458888,461242,+,lon,2354,lon 
b0440,461451,461723,+,hupB,272,hupB 
b0441,461915,463786,+,ppiD,1871,ppiD 
b0442,463937,464308,+,ybaV,371,ybaV
b0443,464402,464800,+,fadM,398,fadM
b0444,464852,465547,-,queC,695,queC
b0445,465612,467312,-,ybaE,1700,ybaE
b0446,467412,468230,+,cof,818,cof
b0447,468383,468841,+,decR,458,decR
b0448,468871,470643,+,mdlA,1772,mdlAB
b0449,470636,472417,+,mdlB,1781,mdlAB
b0450,472598,472936,+,glnK,338,glnK-amtB
b0451,472966,474252,+,amtB,1286,glnK-amtB
b0452,474301,475161,-,tesB,860,tesB
b0453,475379,475951,+,ybaY,572,ybaY
b0454,475982,476371,-,ybaZ,389,ybaZ
b0455,476448,476561,+,ffs,113,ffs
b0456,476672,477025,+,ybaA,353,ybaA
b0457,477067,478617,-,pdeB,1550,pdeB
b0458,478781,479251,-,ylaC,470,ylaC
b0459,479367,479918,-,maa,551,maa
b0460,480090,480308,-,hha,218,tomB-hha
b0461,480334,480708,-,tomB,374,tomB-hha
b0462,481254,484403,-,acrB,3149,acrB 
b0463,484426,485619,-,acrA,1193,acrAB
b0464,485761,486408,+,acrR,647,acrR
b0465,486536,489898,+,mscK,3362,mscK
b0466,490110,490271,-,ybaM,161,priC-ybaM
b0467,490285,490812,-,priC,527,priC-ybaM
b0468,490882,491259,+,ybaN,377,ybaN
b0469,491412,491963,+,apt,551,apt
b0470,492092,494023,+,dnaX,1931,dnaX
b0471,494076,494405,+,ybaB,329,ybaB-recR
b0472,494405,495010,+,recR,605,ybaB-recR
b0473,495120,496994,+,htpG,1874,htpG 
b0474,497175,497819,+,adk,644,adk
b0475,498055,499017,+,hemH,962,hemH
b0476,499014,499973,-,aes,959,aes
b0477,500125,501429,+,gsk,1304,gsk
b0478,501562,503238,-,ybaL,1676,ybaL
b0479,503476,504696,-,fsr,1220,fsr
b0480,504914,506566,+,ushA,1652,ushA
b0481,506603,507082,-,ybaK,479,ybaK
b0482,507286,508080,-,ybaP,794,ybaP
b0483,508218,508559,+,ybaQ,341,ybaQ
b0484,508875,511379,-,copA,2504,copA
b0485,511641,512573,+,glsA,932,glsA-ybaT
b0486,512576,513868,+,ybaT,1292,glsA-ybaT
b0487,513993,514400,+,cueR,407,cueR
b0488,514401,514859,-,ybbJ,458,qmcA-ybbJ
b0489,514856,515773,-,qmcA,917,qmcA-ybbJ
b0490,515919,516596,+,fetA,677,fetAB
b0491,516583,517362,+,fetB,779,fetAB
b0492,517425,518279,-,cnoX,854,ybbN
b0493,518340,519149,-,ybbO,809,tesA-ybbO
b0494,519139,519765,-,tesA,626,tesA-ybbO
b0495,519733,520419,+,ybbA,686,ybbAP
b0496,520416,522830,+,ybbP,2414,ybbAP
b0497,523261,527541,+,rhsD,4280,rhsD-ybbC-ylbH-ybbD
b0498,527581,527949,+,ybbC,368,rhsD-ybbC-ylbH-ybbD
b0499,527949,528659,+,ylbH,710,rhsD-ybbC-ylbH-ybbD
b0501,528640,529130,+,ybbD,490,rhsD-ybbC-ylbH-ybbD
b0502,529645,530016,-,ylbG,371,ylbG
b0503,530132,531226,-,selU,1094,ybbB
b0504,531295,532221,-,allS,926,allS
b0505,532451,532933,+,allA,482,allA
b0506,533011,533826,+,allR,815,allR
b0507,533916,535697,+,gcl,1781,gcl-hyi-glxR-ybbVW-allB-ybbY-glxK
b0508,535710,536486,+,hyi,776,gcl-hyi-glxR-ybbVW-allB-ybbY-glxK
b0509,536586,537464,+,glxR,878,gcl-hyi-glxR-ybbVW-allB-ybbY-glxK
b0511,537633,539087,+,ybbW,1454,gcl-hyi-glxR-ybbVW-allB-ybbY-glxK
b0512,539147,540508,+,allB,1361,allB 
b0513,540565,541866,+,ybbY,1301,ybbY-glxK 
b0514,541888,543033,+,glxK,1145,ybbY-glxK 
b0515,543261,544046,-,allE,785,allDC-ylbA
b0516,544057,545292,-,allC,1235,allDC-ylbA
b0517,545314,546363,-,allD,1049,allDC-ylbA
b0518,546680,548347,+,fdrA,1667,fdrA-ylbEF-ybcF
b0520,549627,550442,+,ylbF,815,fdrA-ylbEF-ybcF
b0521,550439,551332,+,ybcF,893,fdrA-ylbEF-ybcF
b0522,551527,552594,-,purK,1067,purEK
