,locus_tag,left,right,mode,final_state,tf,strand
184,ECK120011701,787621,787639,repressor,Fur-Fe<SUP>2+</SUP>,Fur,
185,ECK120011703,3429111,3429125,activator,Fis,Fis,
186,ECK120011705,3429131,3429145,activator,Fis,Fis,
187,ECK120011707,3429166,3429180,activator,Fis,Fis,
188,ECK120011709,3429184,3429198,activator,Fis,Fis,
189,ECK120011711,3429214,3429228,activator,Fis,Fis,
190,ECK120011713,4207784,4207798,activator,Fis,Fis,
191,ECK120011715,4207755,4207769,activator,Fis,Fis,
192,ECK120011717,4207739,4207753,activator,Fis,Fis,
193,ECK120011719,4207713,4207727,activator,Fis,Fis,
194,ECK120011721,4207686,4207700,activator,Fis,Fis,
195,ECK120011723,2731512,2731526,activator,Fis,Fis,
196,ECK120011725,2731532,2731546,activator,Fis,Fis,
197,ECK120011727,2731553,2731567,activator,Fis,Fis,
198,ECK120011729,223407,223421,activator,Fis,Fis,
199,ECK120011731,223387,223401,activator,Fis,Fis,
200,ECK120011733,223344,223358,activator,Fis,Fis,
201,ECK120011735,223297,223311,activator,Fis,Fis,
202,ECK120011737,3581019,3581037,repressor,Fur-Fe<SUP>2+</SUP>,Fur,
203,ECK120011743,3847253,3847272,activator,UhpA-P<sup>asp</sup>,UhpA,
204,ECK120011745,354819,354833,activator,Nac,Nac,
205,ECK120011747,1287756,1287770,activator,Fis,Fis,
206,ECK120011749,1287787,1287801,activator,Fis,Fis,
207,ECK120011754,4617174,4617195,dual,CRP-cAMP,CRP,
208,ECK120011754,4617174,4617195,dual,CRP-cAMP,CRP,
209,ECK120011765,4287649,4287663,repressor,Fis,Fis,
210,ECK120011765,4287649,4287663,repressor,Fis,Fis,
211,ECK120011765,4287649,4287663,repressor,Fis,Fis,
212,ECK120011768,4287610,4287622,repressor,IHF,IHF,
213,ECK120011768,4287610,4287622,repressor,IHF,IHF,
214,ECK120011768,4287610,4287622,repressor,IHF,IHF,
215,ECK120011771,4287450,4287471,activator,CRP-cAMP,CRP,
216,ECK120011773,4287503,4287524,activator,CRP-cAMP,CRP,
217,ECK120011775,4287443,4287457,repressor,Fis,Fis,
218,ECK120011777,4287482,4287496,repressor,Fis,Fis,
219,ECK120011779,4287538,4287550,activator,IHF,IHF,
220,ECK120011779,4287538,4287550,repressor,IHF,IHF,
221,ECK120011781,4287565,4287577,repressor,IHF,IHF,
222,ECK120011784,4466260,4466281,unknown,CRP-cAMP,CRP,
223,ECK120011786,987453,987472,repressor,OmpR-P,OmpR,
224,ECK120011788,987153,987172,dual,OmpR-P,OmpR,
225,ECK120011788,987153,987172,dual,OmpR-P,OmpR,
226,ECK120011790,987133,987152,dual,OmpR-P,OmpR,
227,ECK120011790,987133,987152,dual,OmpR-P,OmpR,
228,ECK120011795,3742725,3742746,unknown,CRP-cAMP,CRP,
229,ECK120011798,1237518,1237539,dual,CRP-cAMP,CRP,
230,ECK120011798,1237518,1237539,activator,CRP-cAMP,CRP,
231,ECK120011798,1237518,1237539,dual,CRP-cAMP,CRP,
232,ECK120011800,3105696,3105717,dual,CRP-cAMP,CRP,
233,ECK120011800,3105696,3105717,dual,CRP-cAMP,CRP,
234,ECK120011802,4330319,4330333,activator,Fis,Fis,
235,ECK120011804,4330359,4330373,activator,Fis,Fis,
236,ECK120011806,4611050,4611062,repressor,IHF,IHF,
237,ECK120011808,4610997,4611011,repressor,Lrp,Lrp,
238,ECK120011810,4610960,4610974,repressor,Lrp,Lrp,
239,ECK120011812,4611154,4611175,repressor,CRP-cAMP,CRP,
240,ECK120011814,4611130,4611151,repressor,CRP-cAMP,CRP,
241,ECK120011816,2911401,2911415,activator,Fis,Fis,
242,ECK120011816,2911401,2911415,activator,Fis,Fis,
243,ECK120011819,1556548,1556561,activator,RcsB-P<sup>asp56</sup>,RcsB,
244,ECK120011826,2441672,2441688,activator,FadR,FadR,
245,ECK120011828,3086555,3086570,repressor,MetJ-adenosylmethionine,MetJ,
246,ECK120011830,3086567,3086582,repressor,MetJ-adenosylmethionine,MetJ,
247,ECK120011832,638930,638945,repressor,MetJ-adenosylmethionine,MetJ,
248,ECK120011834,638940,638955,repressor,MetJ-adenosylmethionine,MetJ,
249,ECK120011836,4128572,4128587,repressor,MetJ-adenosylmethionine,MetJ,
250,ECK120011838,4128582,4128597,repressor,MetJ-adenosylmethionine,MetJ,
251,ECK120011840,4128580,4128595,repressor,MetJ-adenosylmethionine,MetJ,
252,ECK120011842,4128590,4128605,repressor,MetJ-adenosylmethionine,MetJ,
253,ECK120011844,4128588,4128603,repressor,MetJ-adenosylmethionine,MetJ,
254,ECK120011846,4128598,4128613,repressor,MetJ-adenosylmethionine,MetJ,
255,ECK120011848,4132539,4132554,repressor,MetJ-adenosylmethionine,MetJ,
256,ECK120011850,4132547,4132562,repressor,MetJ-adenosylmethionine,MetJ,
257,ECK120011852,4132545,4132560,repressor,MetJ-adenosylmethionine,MetJ,
258,ECK120011854,4132555,4132570,repressor,MetJ-adenosylmethionine,MetJ,
259,ECK120011862,2788848,2788869,activator,CRP-cAMP,CRP,
260,ECK120011865,2665348,2665369,activator,CRP-cAMP,CRP,
261,ECK120011870,2313006,2313018,repressor,IHF,IHF,
262,ECK120011870,2313006,2313018,repressor,IHF,IHF,
263,ECK120011870,2313006,2313018,repressor,IHF,IHF,
264,ECK120011878,866354,866367,repressor,FNR,FNR,
265,ECK120011880,866524,866538,activator,ArcA-Phosphorylated,ArcA,
266,ECK120011882,866495,866510,activator,NarL-Phosphorylated,NarL,
267,ECK120011884,866563,866578,activator,NarL-Phosphorylated,NarL,
268,ECK120011886,1263645,1263658,repressor,FNR,FNR,
269,ECK120011890,1889819,1889835,repressor,FadR,FadR,
270,ECK120011892,1889905,1889921,repressor,FadR,FadR,
271,ECK120011901,4223698,4223714,activator,FadR,FadR,
272,ECK120011906,1488178,1488186,repressor,DnaA-ATP,DnaA,
273,ECK120011910,703798,703820,repressor,NagC,NagC,
274,ECK120011910,703798,703820,repressor,NagC,NagC,
275,ECK120011913,703704,703726,repressor,NagC,NagC,
276,ECK120011913,703704,703726,repressor,NagC,NagC,
277,ECK120011916,703768,703789,dual,CRP-cAMP,CRP,
278,ECK120011916,703768,703789,dual,CRP-cAMP,CRP,
279,ECK120011916,703768,703789,dual,CRP-cAMP,CRP,
280,ECK120011916,703768,703789,dual,CRP-cAMP,CRP,
281,ECK120011920,1292927,1292941,activator,Fis,Fis,
282,ECK120011922,1292961,1292975,activator,Fis,Fis,
283,ECK120011924,1293069,1293083,activator,Fis,Fis,
284,ECK120011926,1293194,1293208,activator,Fis,Fis,
285,ECK120011928,1293233,1293247,activator,Fis,Fis,
286,ECK120011930,1293125,1293139,activator,Fis,Fis,
287,ECK120011932,1293022,1293036,activator,Fis,Fis,
288,ECK120011934,1293064,1293078,repressor,H-NS,H-NS,
289,ECK120011936,1293133,1293147,repressor,H-NS,H-NS,
290,ECK120011943,595512,595528,activator,CusR-P<sup>asp</sup>,CusR,
291,ECK120011943,595512,595528,activator,CusR-P<sup>asp</sup>,CusR,
292,ECK120011945,4058152,4058173,repressor,CRP-cAMP,CRP,
293,ECK120011947,4058154,4058175,repressor,CRP-cAMP,CRP,
294,ECK120011964,4360278,4360292,repressor,ArcA-Phosphorylated,ArcA,
295,ECK120011968,42121,42135,activator,ArcA-Phosphorylated,ArcA,
296,ECK120011970,42131,42145,activator,ArcA-Phosphorylated,ArcA,
297,ECK120011972,42003,42017,activator,ArcA-Phosphorylated,ArcA,
298,ECK120011974,41981,41995,activator,ArcA-Phosphorylated,ArcA,
299,ECK120011976,4349124,4349140,activator,DcuR-P<sup>asp</sup>,DcuR,
300,ECK120011979,1165928,1165942,repressor,ArcA-Phosphorylated,ArcA,
301,ECK120011981,1166020,1166034,repressor,ArcA-Phosphorylated,ArcA,
302,ECK120011983,1166036,1166050,repressor,ArcA-Phosphorylated,ArcA,
303,ECK120011985,1166041,1166055,repressor,ArcA-Phosphorylated,ArcA,
304,ECK120011987,1166050,1166064,repressor,ArcA-Phosphorylated,ArcA,
305,ECK120011989,1166052,1166066,repressor,ArcA-Phosphorylated,ArcA,
306,ECK120011992,890826,890845,activator,SoxS,SoxS,
307,ECK120011995,4100732,4100746,repressor,ArcA-Phosphorylated,ArcA,
308,ECK120011997,4100743,4100757,repressor,ArcA-Phosphorylated,ArcA,
309,ECK120011999,4100715,4100729,repressor,ArcA-Phosphorylated,ArcA,
310,ECK120012001,771297,771311,activator,ArcA-Phosphorylated,ArcA,
311,ECK120012003,770870,770884,activator,ArcA-Phosphorylated,ArcA,
312,ECK120012005,770859,770873,activator,ArcA-Phosphorylated,ArcA,
313,ECK120012007,770848,770862,activator,ArcA-Phosphorylated,ArcA,
314,ECK120012009,4031035,4031049,repressor,ArcA-Phosphorylated,ArcA,
315,ECK120012011,3128173,3128187,repressor,ArcA-Phosphorylated,ArcA,
316,ECK120012013,3777264,3777278,repressor,ArcA-Phosphorylated,ArcA,
317,ECK120012016,1616963,1616977,repressor,ArcA-Phosphorylated,ArcA,
318,ECK120012018,4466440,4466454,activator,ArcA-Phosphorylated,ArcA,
319,ECK120012022,1942613,1942636,repressor,Zur-Zn<SUP>2+</SUP>,Zur,
320,ECK120012022,1942613,1942636,repressor,Zur-Zn<SUP>2+</SUP>,Zur,
321,ECK120012032,4518280,4518298,repressor,Fur-Fe<SUP>2+</SUP>,Fur,
322,ECK120012034,1821799,1821820,activator,CRP-cAMP,CRP,
323,ECK120012038,1821755,1821773,dual,ChbR,ChbR,
324,ECK120012038,1821755,1821773,dual,ChbR-<i>N</i>-monoacetylchitobiose 6'-phosphate,ChbR,
325,ECK120012040,1821778,1821796,dual,ChbR,ChbR,
326,ECK120012040,1821778,1821796,dual,ChbR-<i>N</i>-monoacetylchitobiose 6'-phosphate,ChbR,
327,ECK120012042,1821715,1821737,repressor,NagC,NagC,
328,ECK120012044,1821827,1821849,repressor,NagC,NagC,
329,ECK120012046,366394,366415,activator,CRP-cAMP,CRP,
330,ECK120012046,366394,366415,repressor,CRP-cAMP,CRP,
331,ECK120012046,366394,366415,repressor,CRP-cAMP,CRP,
332,ECK120012050,4462896,4462909,activator,FNR,FNR,
333,ECK120012052,4462865,4462878,activator,FNR,FNR,
334,ECK120012054,2601000,2601022,activator,CRP-cAMP,CRP,
335,ECK120012056,2601059,2601072,repressor,FNR,FNR,
336,ECK120012058,1157661,1157682,activator,CRP-cAMP,CRP,
337,ECK120012060,1157761,1157775,dual,Fis,Fis,
338,ECK120012060,1157761,1157775,repressor,Fis,Fis,
339,ECK120012060,1157761,1157775,dual,Fis,Fis,
340,ECK120012063,1157740,1157754,dual,Fis,Fis,
341,ECK120012063,1157740,1157754,repressor,Fis,Fis,
342,ECK120012063,1157740,1157754,dual,Fis,Fis,
343,ECK120012066,1157679,1157693,repressor,Fis,Fis,
344,ECK120012066,1157679,1157693,repressor,Fis,Fis,
345,ECK120012069,1157640,1157654,repressor,Fis,Fis,
346,ECK120012069,1157640,1157654,repressor,Fis,Fis,
347,ECK120012072,1157614,1157628,repressor,Fis,Fis,
348,ECK120012072,1157614,1157628,repressor,Fis,Fis,
349,ECK120012079,3906011,3906025,repressor,H-NS,H-NS,
350,ECK120012081,3906717,3906731,repressor,Fis,Fis,
351,ECK120012083,3906742,3906756,repressor,Fis,Fis,
352,ECK120012085,3906748,3906769,activator,CRP-cAMP,CRP,
353,ECK120012085,3906748,3906769,activator,CRP-cAMP,CRP,
354,ECK120012094,3667660,3667680,activator,GadE-RcsB,GadE,
355,ECK120012098,3577621,3577640,repressor,GntR,GntR,
356,ECK120012104,3577636,3577651,repressor,IdnR-5-ketogluconate,IdnR,
357,ECK120012106,4494506,4494521,activator,IdnR-5-ketogluconate,IdnR,
358,ECK120012106,4494506,4494521,activator,IdnR,IdnR,
359,ECK120012116,3546323,3546344,activator,CRP-cAMP,CRP,
360,ECK120012116,3546323,3546344,activator,CRP-cAMP,CRP,
361,ECK120012116,3546323,3546344,activator,CRP-cAMP,CRP,
362,ECK120012120,3546381,3546400,repressor,GntR,GntR,
363,ECK120012120,3546381,3546400,repressor,GntR,GntR,
364,ECK120012120,3546381,3546400,repressor,GntR,GntR,
365,ECK120012129,4551365,4551386,activator,CRP-cAMP,CRP,
366,ECK120012129,4551365,4551386,activator,CRP-cAMP,CRP,
367,ECK120012135,3544642,3544661,repressor,GntR,GntR,
368,ECK120012137,3544615,3544636,activator,CRP-cAMP,CRP,
369,ECK120012139,3867006,3867018,activator,IHF,IHF,
370,ECK120012167,4419898,4419917,repressor,UlaR,UlaR,
371,ECK120012169,4419641,4419660,repressor,UlaR,UlaR,
372,ECK120012172,2850683,2850696,activator,FNR,FNR,
373,ECK120012179,1323103,1323120,repressor,TrpR-tryptophan,TrpR,
374,ECK120012181,1323119,1323136,repressor,TrpR-tryptophan,TrpR,
375,ECK120012183,1788280,1788297,repressor,TrpR-tryptophan,TrpR,
376,ECK120012185,3305863,3305880,repressor,TrpR-tryptophan,TrpR,
377,ECK120012187,406319,406336,repressor,TrpR-tryptophan,TrpR,
378,ECK120012189,4419873,4419892,repressor,UlaR,UlaR,
379,ECK120012191,4419666,4419685,repressor,UlaR,UlaR,
380,ECK120012194,4419856,4419877,activator,CRP-cAMP,CRP,
381,ECK120012197,4494466,4494488,activator,CRP-cAMP,CRP,
382,ECK120012197,4494466,4494488,activator,CRP-cAMP,CRP,
383,ECK120012200,4494516,4494537,activator,CRP-cAMP,CRP,
384,ECK120012200,4494516,4494537,activator,CRP-cAMP,CRP,
385,ECK120012203,4494504,4494523,repressor,GntR,GntR,
386,ECK120012203,4494504,4494523,repressor,GntR,GntR,
387,ECK120012206,4494484,4494503,repressor,GntR,GntR,
388,ECK120012206,4494484,4494503,repressor,GntR,GntR,
389,ECK120012209,4494534,4494553,repressor,GntR,GntR,
390,ECK120012209,4494534,4494553,repressor,GntR,GntR,
391,ECK120012213,3546522,3546541,repressor,GntR,GntR,
392,ECK120012213,3546522,3546541,repressor,GntR,GntR,
393,ECK120012213,3546522,3546541,repressor,GntR,GntR,
394,ECK120012221,422453,422462,activator,MalT-maltotriose-ATP,MalT,
395,ECK120012223,422430,422439,activator,MalT-maltotriose-ATP,MalT,
396,ECK120012225,422417,422426,activator,MalT-maltotriose-ATP,MalT,
397,ECK120012227,1157760,1157774,repressor,ArcA-Phosphorylated,ArcA,
398,ECK120012229,1157711,1157725,repressor,ArcA-Phosphorylated,ArcA,
399,ECK120012231,1157674,1157688,repressor,ArcA-Phosphorylated,ArcA,
400,ECK120012233,3493866,3493878,activator,IHF,IHF,
401,ECK120012235,3493883,3493897,repressor,Fis,Fis,
402,ECK120012237,2832292,2832305,repressor,FNR,FNR,
403,ECK120012242,2716598,2716612,activator,ArcA-Phosphorylated,ArcA,
404,ECK120012244,2716615,2716629,activator,ArcA-Phosphorylated,ArcA,
405,ECK120012255,1230516,1230527,activator,SlyA,SlyA,
406,ECK120012257,3318384,3318405,repressor,CRP-cAMP,CRP,
407,ECK120012257,3318384,3318405,activator,CRP-cAMP,CRP,
408,ECK120012260,3318428,3318445,repressor,ArgR-L-arginine,ArgR,
409,ECK120012260,3318428,3318445,repressor,ArgR-L-arginine,ArgR,
410,ECK120012263,3318547,3318564,repressor,ArgR-L-arginine,ArgR,
411,ECK120012263,3318547,3318564,repressor,ArgR-L-arginine,ArgR,
412,ECK120012266,3318568,3318585,repressor,ArgR-L-arginine,ArgR,
413,ECK120012266,3318568,3318585,repressor,ArgR-L-arginine,ArgR,
414,ECK120012271,2832385,2832397,activator,IHF,IHF,
