regulator,gene_id,gene_name,effect,source
appY,STM1789,STM1789,+,RegulonDB
appY,STM1790,STM1790,+,RegulonDB
appY,STM1791,STM1791,+,RegulonDB
appY,STM1792,STM1792,+,RegulonDB
appY,STM1793,STM1793,+,RegulonDB
araC,STM0101,STM0101,+-,RegulonDB
araC,STM0102,STM0102,+-,RegulonDB
araC,STM0103,STM0103,+-,RegulonDB
araC,STM0104,STM0104,+-,RegulonDB
araC,STM0394,STM0394,+,RegulonDB
araC,STM0035,STM0035,-,RegulonDB
araC,STM3015,STM3015,+,RegulonDB
araC,STM3016,STM3016,+,RegulonDB
araC,STM3660,STM3660,-,RegulonDB
araC,STM3661,STM3661,-,RegulonDB
arcA,STM0002,STM0002,-,RegulonDB
arcA,STM0003,STM0003,-,RegulonDB
arcA,STM0004,STM0004,-,RegulonDB
arcA,STM0043,STM0043,+,RegulonDB
arcA,STM0045,STM0045,+,RegulonDB
arcA,STM0046,STM0046,+,RegulonDB
arcA,STM0047,STM0047,+,RegulonDB
arcA,STM0048,STM0048,+,RegulonDB
arcA,STM0049,STM0049,+,RegulonDB
arcA,STM0066,STM0066,+,RegulonDB
arcA,STM0067,STM0067,+,RegulonDB
arcA,STM0069,STM0069,+-,RegulonDB
arcA,STM0070,STM0070,+-,RegulonDB
arcA,STM0071,STM0071,+-,RegulonDB
arcA,STM0072,STM0072,+-,RegulonDB
arcA,STM0073,STM0073,+-,RegulonDB
arcA,STM0074,STM0074,+-,RegulonDB
arcA,STM0110,STM0110,+,RegulonDB
arcA,STM0111,STM0111,+,RegulonDB
arcA,STM0112,STM0112,+,RegulonDB
arcA,STM0113,STM0113,+,RegulonDB
arcA,STM0114,STM0114,+,RegulonDB
arcA,STM0152,STM0152,-,RegulonDB
arcA,STM0153,STM0153,-,RegulonDB
arcA,STM0154,STM0154,-,RegulonDB
arcA,STM0157,STM0157,+-,RegulonDB
arcA,STM0158,STM0158,-,RegulonDB
arcA,STM0309,STM0309,-,RegulonDB
arcA,STM1105,STM1105,-,RegulonDB
arcA,STM0439,STM0439,-,RegulonDB
arcA,STM0440,STM0440,-,RegulonDB
arcA,STM0441,STM0441,-,RegulonDB
arcA,STM0442,STM0442,-,RegulonDB
arcA,STM0443,STM0443,-,RegulonDB
arcA,STM0605,STM0605,+,RegulonDB
arcA,STM0619,STM0619,-,RegulonDB
arcA,STM0620,STM0620,-,RegulonDB
arcA,STM0621,STM0621,-,RegulonDB
arcA,STM0622,STM0622,-,RegulonDB
arcA,STM0623,STM0623,-,RegulonDB
arcA,STM0624,STM0624,-,RegulonDB
arcA,STM0625,STM0625,+,RegulonDB
arcA,STM0626,STM0626,+,RegulonDB
arcA,STM0627,STM0627,+,RegulonDB
arcA,STM0704,STM0704,+-,RegulonDB
arcA,STM0705,STM0705,+-,RegulonDB
arcA,STM0706,STM0706,+-,RegulonDB
arcA,STM0708,STM0708,+,RegulonDB
arcA,STM0730,STM0730,-,RegulonDB
arcA,STM0732,STM0732,+-,RegulonDB
arcA,STM0733,STM0733,+-,RegulonDB
arcA,STM0734,STM0734,+-,RegulonDB
arcA,STM0735,STM0735,+-,RegulonDB
arcA,STM0736,STM0736,+-,RegulonDB
arcA,STM0737,STM0737,+-,RegulonDB
arcA,STM0738,STM0738,+-,RegulonDB
arcA,STM0739,STM0739,+-,RegulonDB
arcA,STM0740,STM0740,+-,RegulonDB
arcA,STM0741,STM0741,+-,RegulonDB
arcA,STM0801,STM0801,+,RegulonDB
arcA,STM0802,STM0802,-,RegulonDB
arcA,STM0803,STM0803,-,RegulonDB
arcA,STM0804,STM0804,-,RegulonDB
arcA,STM0805,STM0805,-,RegulonDB
arcA,STM0806,STM0806,-,RegulonDB
arcA,STM0841,STM0841,+-,RegulonDB
arcA,STM0843,STM0843,+-,RegulonDB
arcA,STM0844,STM0844,+-,RegulonDB
arcA,STM0845,STM0845,+,RegulonDB
arcA,STM0846,STM0846,+,RegulonDB
arcA,STM0847,STM0847,+,RegulonDB
arcA,STM0848,STM0848,+,RegulonDB
arcA,STM0849,STM0849,+,RegulonDB
arcA,STM0850,STM0850,+,RegulonDB
arcA,STM0851,STM0851,+,RegulonDB
arcA,STM0852,STM0852,+,RegulonDB
arcA,STM0853,STM0853,-,RegulonDB
arcA,STM0877,STM0877,-,RegulonDB
arcA,STM0878,STM0878,-,RegulonDB
arcA,STM0879,STM0879,-,RegulonDB
arcA,STM0880,STM0880,-,RegulonDB
arcA,STM0940,STM0940,+,RegulonDB
arcA,STM0941,STM0941,-,RegulonDB
arcA,STM0942,STM0942,-,RegulonDB
arcA,STM0944,STM0944,-,RegulonDB
arcA,STM0945,STM0945,-,RegulonDB
arcA,STM0953,STM0953,+,RegulonDB
arcA,STM0956,STM0956,+,RegulonDB
arcA,STM0957,STM0957,+,RegulonDB
arcA,STM0973,STM0973,+-,RegulonDB
arcA,STM0974,STM0974,+-,RegulonDB
arcA,STM1004,STM1004,+-,RegulonDB
arcA,STM1057,STM1057,-,RegulonDB
arcA,STM1066,STM1066,+-,RegulonDB
arcA,STM1085,STM1085,+-,RegulonDB
arcA,STM1786,STM1786,+,RegulonDB
arcA,STM1787,STM1787,+,RegulonDB
arcA,STM1788,STM1788,+,RegulonDB
arcA,STM1789,STM1789,+,RegulonDB
arcA,STM1790,STM1790,+,RegulonDB
arcA,STM1791,STM1791,+,RegulonDB
arcA,STM1792,STM1792,+,RegulonDB
arcA,STM1793,STM1793,+,RegulonDB
arcA,STM1098,STM1098,+-,RegulonDB
arcA,STM1122,STM1122,+-,RegulonDB
arcA,STM1124,STM1124,-,RegulonDB
arcA,STM1125,STM1125,+-,RegulonDB
arcA,STM1157,STM1157,+-,RegulonDB
arcA,STM1158,STM1158,+-,RegulonDB
arcA,STM1190,STM1190,+,RegulonDB
arcA,STM1191,STM1191,+,RegulonDB
arcA,STM1192,STM1192,+,RegulonDB
arcA,STM1193,STM1193,+,RegulonDB
arcA,STM1194,STM1194,+,RegulonDB
arcA,STM1195,STM1195,+,RegulonDB
arcA,STM1196,STM1196,+,RegulonDB
arcA,STM1197,STM1197,+,RegulonDB
arcA,STM1203,STM1203,+-,RegulonDB
arcA,STM1211,STM1211,+-,RegulonDB
arcA,STM1235,STM1235,+-,RegulonDB
arcA,STM1237,STM1237,+-,RegulonDB
arcA,STM1238,STM1238,-,RegulonDB
arcA,STM1110,STM1110,+,RegulonDB
arcA,STM1807,STM1807,+,RegulonDB
arcA,STM1777,STM1777,+,RegulonDB
arcA,STM1776,STM1776,+,RegulonDB
arcA,STM1775,STM1775,+,RegulonDB
arcA,STM1746,STM1746,+-,RegulonDB
arcA,STM1745,STM1745,+-,RegulonDB
arcA,STM1744,STM1744,+-,RegulonDB
arcA,STM1743,STM1743,+-,RegulonDB
arcA,STM1742,STM1742,+-,RegulonDB
arcA,STM1732,STM1732,-,RegulonDB
arcA,STM1712,STM1712,-,RegulonDB
arcA,STM3128,STM3128,-,RegulonDB
arcA,STM1682,STM1682,-,RegulonDB
arcA,STM1681,STM1681,+-,RegulonDB
arcA,STM1662,STM1662,-,RegulonDB
arcA,STM1660,STM1660,-,RegulonDB
arcA,STM3129,STM3129,+-,RegulonDB
arcA,STM1587,STM1587,+-,RegulonDB
arcA,STM1586,STM1586,+-,RegulonDB
arcA,STM1599,STM1599,+-,RegulonDB
arcA,STM1522,STM1522,-,RegulonDB
arcA,STM1480,STM1480,+,RegulonDB
arcA,STM1479,STM1479,+,RegulonDB
arcA,STM1476,STM1476,+-,RegulonDB
arcA,STM1475,STM1475,+-,RegulonDB
arcA,STM1471,STM1471,+-,RegulonDB
arcA,STM1469,STM1469,+-,RegulonDB
arcA,STM1468,STM1468,-,RegulonDB
arcA,STM1467,STM1467,+-,RegulonDB
arcA,STM1307,STM1307,-,RegulonDB
arcA,STM1306,STM1306,-,RegulonDB
arcA,STM1305,STM1305,-,RegulonDB
arcA,STM1304,STM1304,-,RegulonDB
arcA,STM1303,STM1303,-,RegulonDB
arcA,STM1302,STM1302,-,RegulonDB
arcA,STM1291,STM1291,-,RegulonDB
arcA,STM1290,STM1290,-,RegulonDB
arcA,STM1289,STM1289,-,RegulonDB
arcA,STM1818,STM1818,-,RegulonDB
arcA,STM1924,STM1924,+,RegulonDB
arcA,STM1925,STM1925,+,RegulonDB
arcA,STM1927,STM1927,+-,RegulonDB
arcA,STM1934,STM1934,+-,RegulonDB
arcA,STM3261,STM3261,-,RegulonDB
arcA,STM3259,STM3259,-,RegulonDB
arcA,STM3258,STM3258,-,RegulonDB
arcA,STM3257,STM3257,-,RegulonDB
arcA,STM3253,STM3253,-,RegulonDB
arcA,STM2188,STM2188,-,RegulonDB
arcA,STM2189,STM2189,-,RegulonDB
arcA,STM2190,STM2190,-,RegulonDB
arcA,STM2192,STM2192,-,RegulonDB
arcA,STM2193,STM2193,-,RegulonDB
arcA,STM2194,STM2194,+-,RegulonDB
arcA,STM2199,STM2199,-,RegulonDB
arcA,STM2220,STM2220,-,RegulonDB
arcA,STM2224,STM2224,+,RegulonDB
arcA,STM2267,STM2267,+,RegulonDB
arcA,STM2269,STM2269,+,RegulonDB
arcA,STM2270,STM2270,+,RegulonDB
arcA,STM2284,STM2284,-,RegulonDB
arcA,STM2285,STM2285,-,RegulonDB
arcA,STM2286,STM2286,-,RegulonDB
arcA,STM2316,STM2316,-,RegulonDB
arcA,STM2317,STM2317,-,RegulonDB
arcA,STM2318,STM2318,-,RegulonDB
arcA,STM2319,STM2319,-,RegulonDB
arcA,STM2320,STM2320,-,RegulonDB
arcA,STM2321,STM2321,-,RegulonDB
arcA,STM2322,STM2322,-,RegulonDB
arcA,STM2323,STM2323,-,RegulonDB
arcA,STM2324,STM2324,-,RegulonDB
arcA,STM2325,STM2325,-,RegulonDB
arcA,STM2326,STM2326,-,RegulonDB
arcA,STM2327,STM2327,-,RegulonDB
arcA,STM2328,STM2328,-,RegulonDB
arcA,STM2337,STM2337,+,RegulonDB
arcA,STM2351,STM2351,-,RegulonDB
arcA,STM2352,STM2352,-,RegulonDB
arcA,STM2353,STM2353,-,RegulonDB
arcA,STM2354,STM2354,-,RegulonDB
arcA,STM2355,STM2355,-,RegulonDB
arcA,STM2388,STM2388,-,RegulonDB
arcA,STM2389,STM2389,-,RegulonDB
arcA,STM2390,STM2390,-,RegulonDB
arcA,STM2391,STM2391,-,RegulonDB
arcA,STM2408,STM2408,-,RegulonDB
arcA,STM2409,STM2409,+,RegulonDB
arcA,STM2510,STM2510,+-,RegulonDB
arcA,STM2511,STM2511,+-,RegulonDB
arcA,STM2512,STM2512,+,RegulonDB
arcA,STM2526,STM2526,-,RegulonDB
arcA,STM2545,STM2545,+-,RegulonDB
arcA,STM2546,STM2546,+-,RegulonDB
arcA,STM2646,STM2646,+,RegulonDB
arcA,STM2648,STM2648,+,RegulonDB
arcA,STM2654,STM2654,-,RegulonDB
arcA,STM2789,STM2789,-,RegulonDB
arcA,STM2790,STM2790,-,RegulonDB
arcA,STM2791,STM2791,-,RegulonDB
arcA,STM2792,STM2792,-,RegulonDB
arcA,STM2793,STM2793,-,RegulonDB
arcA,STM2924,STM2924,-,RegulonDB
arcA,STM2963,STM2963,-,RegulonDB
arcA,STM2964,STM2964,-,RegulonDB
arcA,STM2965,STM2965,-,RegulonDB
arcA,STM2982,STM2982,+-,RegulonDB
arcA,STM3143,STM3143,+-,RegulonDB
arcA,STM3144,STM3144,+-,RegulonDB
arcA,STM3145,STM3145,+-,RegulonDB
arcA,STM3146,STM3146,+-,RegulonDB
arcA,STM3147,STM3147,+-,RegulonDB
arcA,STM3148,STM3148,+-,RegulonDB
arcA,STM3149,STM3149,+-,RegulonDB
arcA,STM3150,STM3150,+-,RegulonDB
arcA,STM3151,STM3151,+,RegulonDB
arcA,STM3209,STM3209,+,RegulonDB
arcA,STM3210,STM3210,+,RegulonDB
arcA,STM3211,STM3211,+,RegulonDB
arcA,STM3217,STM3217,-,RegulonDB
arcA,STM3219,STM3219,+-,RegulonDB
arcA,STM3225,STM3225,+,RegulonDB
arcA,STM3137,STM3137,+-,RegulonDB
arcA,STM3134,STM3134,+-,RegulonDB
arcA,STM3281,STM3281,+,RegulonDB
arcA,STM3282,STM3282,+-,RegulonDB
arcA,STM3283,STM3283,+-,RegulonDB
arcA,STM3284,STM3284,+,RegulonDB
arcA,STM3285,STM3285,+,RegulonDB
arcA,STM3286,STM3286,+,RegulonDB
arcA,STM3287,STM3287,+,RegulonDB
arcA,STM3288,STM3288,+,RegulonDB
arcA,STM3290,STM3290,+-,RegulonDB
arcA,STM3293,STM3293,+,RegulonDB
arcA,STM3303,STM3303,+,RegulonDB
arcA,STM3304,STM3304,+,RegulonDB
arcA,STM3329,STM3329,+-,RegulonDB
arcA,STM3330,STM3330,+-,RegulonDB
arcA,STM3331,STM3331,+-,RegulonDB
arcA,STM4575,STM4575,+-,RegulonDB
arcA,STM3359,STM3359,-,RegulonDB
arcA,STM3360,STM3360,+,RegulonDB
arcA,STM3431,STM3431,-,RegulonDB
arcA,STM3432,STM3432,-,RegulonDB
arcA,STM3433,STM3433,-,RegulonDB
arcA,STM3434,STM3434,-,RegulonDB
arcA,STM3435,STM3435,-,RegulonDB
arcA,STM3436,STM3436,-,RegulonDB
arcA,STM3437,STM3437,-,RegulonDB
arcA,STM3438,STM3438,-,RegulonDB
arcA,STM3439,STM3439,-,RegulonDB
arcA,STM3440,STM3440,-,RegulonDB
arcA,STM3441,STM3441,-,RegulonDB
arcA,STM3494,STM3494,-,RegulonDB
arcA,STM3495,STM3495,+,RegulonDB
arcA,STM3499,STM3499,+,RegulonDB
arcA,STM3500,STM3500,+-,RegulonDB
arcA,STM3505,STM3505,+-,RegulonDB
arcA,STM3506,STM3506,+-,RegulonDB
arcA,STM3507,STM3507,+-,RegulonDB
arcA,STM3524,STM3524,+-,RegulonDB
arcA,STM3525,STM3525,+-,RegulonDB
arcA,STM3526,STM3526,-,RegulonDB
arcA,STM3553,STM3553,-,RegulonDB
arcA,STM3554,STM3554,-,RegulonDB
arcA,STM3555,STM3555,-,RegulonDB
arcA,STM3556,STM3556,-,RegulonDB
arcA,STM3557,STM3557,-,RegulonDB
arcA,STM3585,STM3585,+,RegulonDB
arcA,STM3586,STM3586,+,RegulonDB
arcA,STM3587,STM3587,+,RegulonDB
arcA,STM3609,STM3609,-,RegulonDB
arcA,STM3614,STM3614,-,RegulonDB
arcA,STM3626,STM3626,+-,RegulonDB
arcA,STM3627,STM3627,+-,RegulonDB
arcA,STM3628,STM3628,+-,RegulonDB
arcA,STM3629,STM3629,+-,RegulonDB
arcA,STM3630,STM3630,+-,RegulonDB
arcA,STM2574,STM2574,+-,RegulonDB
arcA,STM3648,STM3648,-,RegulonDB
arcA,STM3649,STM3649,-,RegulonDB
arcA,STM3662,STM3662,+,RegulonDB
arcA,STM3665,STM3665,+-,RegulonDB
arcA,STM3692,STM3692,+-,RegulonDB
arcA,STM3693,STM3693,+-,RegulonDB
arcA,STM3694,STM3694,+-,RegulonDB
arcA,STM3726,STM3726,+,RegulonDB
arcA,STM3727,STM3727,+,RegulonDB
arcA,STM3728,STM3728,+,RegulonDB
arcA,STM3776,STM3776,+-,RegulonDB
arcA,STM3836,STM3836,+-,RegulonDB
arcA,STM3837,STM3837,+-,RegulonDB
arcA,STM3838,STM3838,+-,RegulonDB
arcA,STM3839,STM3839,+,RegulonDB
arcA,STM3840,STM3840,+,RegulonDB
arcA,STM3849,STM3849,+-,RegulonDB
arcA,STM3914,STM3914,-,RegulonDB
arcA,STM3915,STM3915,+,RegulonDB
arcA,STM3917,STM3917,+,RegulonDB
arcA,STM3953,STM3953,+-,RegulonDB
arcA,STM3954,STM3954,+-,RegulonDB
arcA,STM3956,STM3956,-,RegulonDB
arcA,STM3957,STM3957,+,RegulonDB
arcA,STM3982,STM3982,-,RegulonDB
arcA,STM3983,STM3983,-,RegulonDB
arcA,STM3984,STM3984,+-,RegulonDB
arcA,STM3985,STM3985,+-,RegulonDB
arcA,STM3986,STM3986,+-,RegulonDB
arcA,STM3987,STM3987,+-,RegulonDB
arcA,STM4034,STM4034,+,RegulonDB
arcA,STM4035,STM4035,+,RegulonDB
arcA,STM4036,STM4036,+,RegulonDB
arcA,STM4037,STM4037,+,RegulonDB
arcA,STM4050,STM4050,-,RegulonDB
arcA,STM4055,STM4055,-,RegulonDB
arcA,STM4126,STM4126,-,RegulonDB
arcA,STM4127,STM4127,+,RegulonDB
arcA,STM4128,STM4128,+,RegulonDB
arcA,STM4159,STM4159,-,RegulonDB
arcA,STM4160,STM4160,-,RegulonDB
arcA,STM4162,STM4162,-,RegulonDB
arcA,STM4163,STM4163,-,RegulonDB
arcA,STM4164,STM4164,-,RegulonDB
arcA,STM4183,STM4183,-,RegulonDB
arcA,STM4184,STM4184,-,RegulonDB
arcA,STM4185,STM4185,-,RegulonDB
arcA,STM4233,STM4233,+-,RegulonDB
arcA,STM4234,STM4234,+-,RegulonDB
arcA,STM4254,STM4254,-,RegulonDB
arcA,STM4256,STM4256,-,RegulonDB
arcA,STM4273,STM4273,-,RegulonDB
arcA,STM4274,STM4274,-,RegulonDB
arcA,STM4275,STM4275,-,RegulonDB
arcA,STM4277,STM4277,+,RegulonDB
arcA,STM4278,STM4278,+,RegulonDB
arcA,STM4279,STM4279,+,RegulonDB
arcA,STM4280,STM4280,+,RegulonDB
arcA,STM4282,STM4282,+,RegulonDB
arcA,STM4287,STM4287,+-,RegulonDB
arcA,STM4300,STM4300,+-,RegulonDB
arcA,STM4301,STM4301,+-,RegulonDB
arcA,STM2559,STM2559,-,RegulonDB
arcA,STM2558,STM2558,-,RegulonDB
arcA,STM4325,STM4325,+,RegulonDB
arcA,STM4398,STM4398,+-,RegulonDB
arcA,STM4453,STM4453,+,RegulonDB
arcA,STM4515,STM4515,+-,RegulonDB
arcA,STM4521,STM4521,+-,RegulonDB
arcA,STM4561,STM4561,-,RegulonDB
arcA,STM4598,STM4598,+,RegulonDB
arcA,STM4599,STM4599,+-,RegulonDB
arcA,STM4161,STM4161,-,RegulonDB
arcA,STM0707,STM0707,+-,RegulonDB
argP,STM0064,STM0064,+,RegulonDB
argP,STM0213,STM0213,+,RegulonDB
argP,STM1299,STM1299,+,RegulonDB
argP,STM2200,STM2200,+,RegulonDB
argP,STM2277,STM2277,+,RegulonDB
argP,STM2278,STM2278,+,RegulonDB
argP,STM2279,STM2279,+,RegulonDB
argP,STM3013,STM3013,+,RegulonDB
argP,STM3064,STM3064,-,RegulonDB
argP,STM3066,STM3066,+,RegulonDB
argP,STM3836,STM3836,+,RegulonDB
argP,STM3837,STM3837,+,RegulonDB
argP,STM3838,STM3838,+,RegulonDB
argP,STM4220,STM4220,+,RegulonDB
argR,STM0066,STM0066,-,RegulonDB
argR,STM0067,STM0067,-,RegulonDB
argR,STM0079,STM0079,+,RegulonDB
argR,STM0133,STM0133,-,RegulonDB
argR,STM0150,STM0150,+,RegulonDB
argR,STM0319,STM0319,-,RegulonDB
argR,STM0710,STM0710,+-,RegulonDB
argR,STM0831,STM0831,-,RegulonDB
argR,STM0863,STM0863,-,RegulonDB
argR,STM0877,STM0877,-,RegulonDB
argR,STM0878,STM0878,-,RegulonDB
argR,STM0879,STM0879,-,RegulonDB
argR,STM0880,STM0880,-,RegulonDB
argR,STM0887,STM0887,-,RegulonDB
argR,STM0888,STM0888,-,RegulonDB
argR,STM0889,STM0889,-,RegulonDB
argR,STM0890,STM0890,-,RegulonDB
argR,STM0891,STM0891,-,RegulonDB
argR,STM0938,STM0938,-,RegulonDB
argR,STM0993,STM0993,-,RegulonDB
argR,STM0994,STM0994,-,RegulonDB
argR,STM0025,STM0025,+-,RegulonDB
argR,STM0026,STM0026,+-,RegulonDB
argR,STM0027,STM0027,+-,RegulonDB
argR,STM1767,STM1767,+-,RegulonDB
argR,STM3128,STM3128,+,RegulonDB
argR,STM0035,STM0035,+-,RegulonDB
argR,STM1477,STM1477,-,RegulonDB
argR,STM1326,STM1326,-,RegulonDB
argR,STM1307,STM1307,+,RegulonDB
argR,STM1306,STM1306,+,RegulonDB
argR,STM1305,STM1305,+,RegulonDB
argR,STM1304,STM1304,+,RegulonDB
argR,STM1303,STM1303,+,RegulonDB
argR,STM1283,STM1283,+-,RegulonDB
argR,STM2071,STM2071,-,RegulonDB
argR,STM2072,STM2072,-,RegulonDB
argR,STM2073,STM2073,-,RegulonDB
argR,STM2074,STM2074,-,RegulonDB
argR,STM2075,STM2075,-,RegulonDB
argR,STM2076,STM2076,-,RegulonDB
argR,STM2077,STM2077,-,RegulonDB
argR,STM2078,STM2078,-,RegulonDB
argR,STM2191,STM2191,+,RegulonDB
argR,STM2339,STM2339,-,RegulonDB
argR,STM2351,STM2351,-,RegulonDB
argR,STM2352,STM2352,-,RegulonDB
argR,STM2353,STM2353,-,RegulonDB
argR,STM2354,STM2354,-,RegulonDB
argR,STM2356,STM2356,-,RegulonDB
argR,STM2362,STM2362,-,RegulonDB
argR,STM2363,STM2363,-,RegulonDB
argR,STM2465,STM2465,+,RegulonDB
argR,STM2466,STM2466,+,RegulonDB
argR,STM2467,STM2467,+,RegulonDB
argR,STM2468,STM2468,+,RegulonDB
argR,STM2469,STM2469,+,RegulonDB
argR,STM2470,STM2470,+,RegulonDB
argR,STM2482,STM2482,+,RegulonDB
argR,STM2483,STM2483,+,RegulonDB
argR,STM2554,STM2554,+-,RegulonDB
argR,STM2796,STM2796,-,RegulonDB
argR,STM2799,STM2799,-,RegulonDB
argR,STM2992,STM2992,-,RegulonDB
argR,STM3173,STM3173,+,RegulonDB
argR,STM3282,STM3282,-,RegulonDB
argR,STM3283,STM3283,-,RegulonDB
argR,STM3284,STM3284,-,RegulonDB
argR,STM3285,STM3285,-,RegulonDB
argR,STM3286,STM3286,-,RegulonDB
argR,STM3287,STM3287,-,RegulonDB
argR,STM3288,STM3288,-,RegulonDB
argR,STM3290,STM3290,-,RegulonDB
argR,STM3294,STM3294,-,RegulonDB
argR,STM3330,STM3330,-,RegulonDB
argR,STM3331,STM3331,-,RegulonDB
argR,STM4575,STM4575,-,RegulonDB
argR,STM3360,STM3360,-,RegulonDB
argR,STM3372,STM3372,-,RegulonDB
argR,STM3373,STM3373,-,RegulonDB
argR,STM3374,STM3374,-,RegulonDB
argR,STM3468,STM3468,-,RegulonDB
argR,STM3481,STM3481,-,RegulonDB
argR,STM3482,STM3482,-,RegulonDB
argR,STM3483,STM3483,-,RegulonDB
argR,STM3484,STM3484,-,RegulonDB
argR,STM3485,STM3485,-,RegulonDB
argR,STM3486,STM3486,-,RegulonDB
argR,STM3487,STM3487,-,RegulonDB
argR,STM3716,STM3716,-,RegulonDB
argR,STM3719,STM3719,-,RegulonDB
argR,STM3721,STM3721,-,RegulonDB
argR,STM3722,STM3722,-,RegulonDB
argR,STM3723,STM3723,-,RegulonDB
argR,STM3864,STM3864,-,RegulonDB
argR,STM3865,STM3865,-,RegulonDB
argR,STM3866,STM3866,-,RegulonDB
argR,STM3867,STM3867,-,RegulonDB
argR,STM3868,STM3868,-,RegulonDB
argR,STM3869,STM3869,-,RegulonDB
argR,STM3870,STM3870,-,RegulonDB
argR,STM3871,STM3871,-,RegulonDB
argR,STM3872,STM3872,-,RegulonDB
argR,STM4120,STM4120,-,RegulonDB
argR,STM4121,STM4121,-,RegulonDB
argR,STM4122,STM4122,-,RegulonDB
argR,STM4123,STM4123,-,RegulonDB
argR,STM4283,STM4283,+,RegulonDB
argR,STM4287,STM4287,+,RegulonDB
argR,STM4459,STM4459,-,RegulonDB
argR,STM4460,STM4460,-,RegulonDB
argR,STM4469,STM4469,-,RegulonDB
argR,STM2484,STM2484,+,RegulonDB
ascG,STM0367,STM0367,-,RegulonDB
ascG,STM0487,STM0487,-,RegulonDB
ascG,STM0838,STM0838,-,RegulonDB
asnC,STM3874,STM3874,-,RegulonDB
asnC,STM3875,STM3875,-,RegulonDB
asnC,STM3876,STM3876,-,RegulonDB
asnC,STM3877,STM3877,+,RegulonDB
bCCP,STM3379,STM3379,-,RegulonDB
bCCP,STM3380,STM3380,-,RegulonDB
baeR,STM1308,STM1308,+,RegulonDB
baeR,STM2126,STM2126,+,RegulonDB
baeR,STM2127,STM2127,+,RegulonDB
baeR,STM2128,STM2128,+,RegulonDB
baeR,STM2129,STM2129,+,RegulonDB
baeR,STM2130,STM2130,+,RegulonDB
baeR,STM2131,STM2131,+,RegulonDB
baeR,STM2481,STM2481,+,RegulonDB
basR,STM0473,STM0473,+,RegulonDB
basR,STM0474,STM0474,+,RegulonDB
basR,STM1124,STM1124,-,RegulonDB
basR,STM1139,STM1139,+,RegulonDB
basR,STM1140,STM1140,+,RegulonDB
basR,STM1141,STM1141,+,RegulonDB
basR,STM1142,STM1142,+,RegulonDB
basR,STM1996,STM1996,+,RegulonDB
basR,STM3177,STM3177,+,RegulonDB
basR,STM3178,STM3178,+,RegulonDB
basR,STM3325,STM3325,-,RegulonDB
basR,STM4236,STM4236,+,RegulonDB
basR,STM0716,STM0716,+,RegulonDB
birA,STM0793,STM0793,-,RegulonDB
birA,STM0794,STM0794,-,RegulonDB
birA,STM0795,STM0795,-,RegulonDB
birA,STM0796,STM0796,-,RegulonDB
birA,STM0797,STM0797,-,RegulonDB
bolA,STM0863,STM0863,+-,RegulonDB
btsR,STM4532,STM4532,+,RegulonDB
cadC,STM2559,STM2559,+,RegulonDB
cadC,STM2558,STM2558,+,RegulonDB
cadC,STM2557,STM2557,+,RegulonDB
caiF,STM0069,STM0069,+,RegulonDB
