,start,stop,strand,gene_name,length,,gene_product,evidence,PMID_list,confidence,all_bnumber,regulonDB_geneID
b0018,16751,16960,-,mokC,209,,regulatory protein MokC,[HIFS|W|Human inference of function from sequence],"10361310,",Weak,b0018,ECK120000366
b4413,16952,17006,+,sokC,54,,small regulatory RNA antitoxin SokC,"[IMP|W|Inferred from mutant phenotype],[HIFS|W|Human inference of function from sequence]","10361310,1943701,",Weak,b4413,ECK120002653
b0019,17489,18655,+,nhaA,1166,,Na antiporter NhaA,,"10398838,10671505,11275556,11697236,11779554,15236973,15282168,15642346,15894644,15962009,16139785,16298390,16477015,16919297,16935297,18083192,18387952,18930435,19274728,21566125,22431724,23131124,23360655,23733686,23959879,25950963,26392528,26417087,27708266,30310075,7774707,7929345,8017942,8588889,9312050,9853399,9877164,",,b0019,ECK120000645
b0020,18715,19620,+,nhaR,905,,DNA-binding transcriptional activator NhaR,,"1316901,1630901,2429258,3413113,8168494,",,b0020,ECK120001066
,19811,20508,-,insAB1,697,,InsAB' transposase,[IMP|W|Inferred from mutant phenotype],"8083181,",Weak,,ECK120023911
b0021,19811,20314,-,insB1,503,,IS1 protein InsB,,,,b0021,ECK120002705
b0022,20233,20508,-,insA1,275,,IS1 protein InsA,[IMP|W|Inferred from mutant phenotype],"8083181,",Weak,b0022,ECK120002706
b0023,20815,21078,-,rpsT,263,,30S ribosomal subunit protein S20,,"1091486,4606155,",,b0023,ECK120000910
b0024,21181,21399,+,yaaY,218,,DUF2575 domain-containing protein YaaY,,,,b0024,ECK120002707
b0025,21407,22348,+,ribF,941,,bifunctional riboflavin kinase / FMN adenylyltransferase,,,,b0025,ECK120001067
b0026,22391,25207,+,ileS,2816,,isoleucine&mdash;tRNA ligase,,"1329109,26070674,5324173,6390679,7629064,",,b0026,ECK120000485
b0027,25207,25701,+,lspA,494,,lipoprotein signal peptidase,,"1544479,2993296,3112119,3282924,6186482,6313636,6347715,6350278,6754699,7048314,7050113,8051048,8407783,",,b0027,ECK120000541
b0028,25826,26275,+,fkpB,449,,peptidyl-prolyl  isomerase FkpB,,"22952665,26070674,",,b0028,ECK120001068
b0029,26277,27227,+,ispH,950,,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase,,,,b0029,ECK120001069
b0030,27293,28207,+,rihC,914,,ribonucleoside hydrolase RihC,,,,b0030,ECK120001070
b0031,28374,29195,+,dapB,821,,4-hydroxy-tetrahydrodipicolinate reductase,,"10368155,17870049,26815040,6110161,6251070,8152,",,b0031,ECK120000200
b0032,29651,30799,+,carA,1148,,carbamoyl phosphate synthetase subunit &alpha;,,"24516157,",,b0032,ECK120000130
b0033,30817,34038,+,carB,3221,,carbamoyl phosphate synthetase subunit &beta;,,,,b0033,ECK120000131
b0034,34300,34695,+,caiF,395,,DNA-binding transcriptional activator CaiF,,"10564497,8631699,9573142,",,b0034,ECK120002708
b0035,34781,35371,-,caiE,590,,putative transferase CaiE,,,,b0035,ECK120002330
b0036,35377,36162,-,caiD,785,,crotonobetainyl-CoA hydratase,,,,b0036,ECK120001510
b0037,36271,37824,-,caiC,1553,,carnitine&mdash;CoA ligase,,,,b0037,ECK120001511
b0038,37898,39115,-,caiB,1217,,&gamma;-butyrobetainyl-CoA:carnitine CoA transferase,,,,b0038,ECK120001512
b0039,39244,40386,-,caiA,1142,,crotonobetainyl-CoA reductase,,"11551212,23718679,",,b0039,ECK120001513
b0040,40417,41931,-,caiT,1514,,L-carnitine:&gamma;-butyrobetaine antiporter,,,,b0040,ECK120001514
b0041,42403,43173,+,fixA,770,,putative electron transfer flavoprotein FixA,"[IMP|W|Inferred from mutant phenotype],[HIFS|W|Human inference of function from sequence]","12081978,7473063,7815937,",Weak,b0041,ECK120001515
b0042,43188,44129,+,fixB,941,,putative electron transfer flavoprotein FixB,"[IMP|W|Inferred from mutant phenotype],[HIFS|W|Human inference of function from sequence]","12081978,7473063,",Weak,b0042,ECK120001516
b0043,44180,45466,+,fixC,1286,,putative oxidoreductase FixC,,,,b0043,ECK120001517
b0044,45463,45750,+,fixX,287,,putative ferredoxin FixX,,,,b0044,ECK120001518
b0045,45807,47138,+,yaaU,1331,,putative transporter YaaU,,"31438868,",,b0045,ECK120001519
b0046,47246,47776,+,kefF,530,,regulator of KefC-mediated potassium transport and quinone oxidoreductase,,,,b0046,ECK120001520
b0047,47769,49631,+,kefC,1862,,K antiporter KefC,,,,b0047,ECK120000514
b0048,49823,50302,+,folA,479,,dihydrofolate reductase,,"29301959,",,b0048,ECK120000320
b0049,50380,51222,-,apaH,842,,diadenosine tetraphosphatase,,"2159411,2172926,2554885,2670894,27718375,2820468,3031429,8119291,9286857,",,b0049,ECK120000044
b0050,51229,51606,-,apaG,377,,DUF525 domain-containing protein ApaG,,,,b0050,ECK120000043
b0051,51609,52430,-,rsmA,821,,16S rRNA mA1519 dimethyltransferase,,"12432951,19520088,22391551,23095113,2670894,3122846,3905517,4329247,4336392,4570603,6256606,6450312,",,b0051,ECK120000516
b0052,52427,53416,-,pdxA,989,,4-hydroxythreonine-4-phosphate dehydrogenase,,,,b0052,ECK120000684
b0053,53416,54702,-,surA,1286,,chaperone SurA,,"10500101,10748200,11274153,11844765,12003929,14594826,15489426,15603590,16102012,16199663,21671888,23275244,23871892,24586054,27482090,28919234,30684235,7878731,7889934,9335308,",,b0053,ECK120000974
b0054,54755,57109,-,lptD,2354,,lipopolysaccharide assembly protein LptD,[IMP|W|Inferred from mutant phenotype],"12207697,27439868,29802191,",Weak,b0054,ECK120001521
b0055,57364,58179,+,djlA,815,,co-chaperone protein DjlA,[IE|W|Inferred from experiment],"11106641,",Weak,b0055,ECK120001522
b0056,58474,59124,+,yabP,650,,putative uncharacterized protein YabP,,,,"b0056,b4659",ECK120002332
b0057,59121,59279,+,yabQ,158,,protein YabQ,,,,"b0057,b4659",ECK120002333
b0058,59687,60346,-,rluA,659,,23S rRNA pseudouridine synthase,,"21142053,27292228,",,b0058,ECK120002331
b0059,60358,63264,-,rapA,2906,,RNA polymerase-binding ATPase and RNAP recycling factor,[APPH|S|Assay of protein purified  to homogeneity],"11751638,11772406,11890942,14712653,16223443,17913745,21533049,8464078,9507009,9614128,",Strong,b0059,ECK120001071
b0060,63429,65780,-,polB,2351,,DNA polymerase II,,"17586534,1911943,20064374,20523737,2217198,26657641,326258,4559593,4564210,4595569,4604726,4605284,4943843,8594343,9079692,",,b0060,ECK120000738
b0061,65855,66550,-,araD,695,,L-ribulose-5-phosphate 4-epimerase AraD,,,,b0061,ECK120000051
b0062,66835,68337,-,araA,1502,,L-arabinose isomerase,,,,b0062,ECK120000048
b0063,68348,70048,-,araB,1700,,ribulokinase,,,,b0063,ECK120000049
b0064,70387,71265,+,araC,878,,DNA-binding transcriptional dual regulator AraC,,"2231717,7768852,",,b0064,ECK120000050
b0065,71351,72115,+,yabI,764,,DedA family protein YabI,[IGI|W|Inferred from genetic interaction],"18456815,",Weak,b0065,ECK120001523
b0066,72229,72927,-,thiQ,698,,thiamine ABC transporter ATP binding subunit,,,,b0066,ECK120001524
b0067,72911,74521,-,thiP,1610,,thiamine ABC transporter membrane subunit,,,,b0067,ECK120001525
b0068,74497,75480,-,thiB,983,,thiamine ABC transporter periplasmic binding protein,,"12376536,28520932,4573077,4586830,4945201,",,b0068,ECK120001526
b4762,75516,75608,-,sroA,92,,small RNA SroA,,"12376536,28071751,28520932,",,b4762,ECK120002641
b0069,75644,77299,-,sgrR,1655,,DNA-binding transcriptional dual regulator SgrR,[IMP|W|Inferred from mutant phenotype],"15522088,",Weak,b0069,ECK120001999
b4577,77367,77593,+,sgrS,226,,small regulatory RNA SgrS,"[IDA|S|Inferred from direct assay],[IE|W|Inferred from experiment],[IMP|W|Inferred from mutant phenotype]","15522088,15650111,23873911,25582129,28119418,28289085,29137641,30287822,30700509,32291821,",Strong,b4577,ECK120002667
b4662,77388,77519,+,sgrT,131,,PtsG glucose transporter inhibitor,"[IMP|W|Inferred from mutant phenotype],[IPI|W|Inferred from physical interaction]","18042713,24957761,29111488,",Weak,b4662,ECK120033551
b0070,77621,78799,+,setA,1178,,sugar exporter SetA,,,,b0070,ECK120001692
b0071,78848,79453,-,leuD,605,,3-isopropylmalate dehydratase subunit LeuD,,,,b0071,ECK120001527
b0072,79464,80864,-,leuC,1400,,3-isopropylmalate dehydratase subunit LeuC,,"15657047,28637476,28744578,320178,",,b0072,ECK120001528
b0073,80867,81958,-,leuB,1091,,3-isopropylmalate dehydrogenase,,,,b0073,ECK120001529
b0074,81958,83529,-,leuA,1571,,2-isopropylmalate synthase,,,,b0074,ECK120001204
b0075,83622,83708,-,leuL,86,, operon leader peptide,[AH|W|Author hypothesis],"6171647,",Weak,b0075,ECK120001253
b0076,84368,85312,+,leuO,944,,DNA-binding transcriptional dual regulator LeuO,"[GEA|W|Gene expression analysis],[IE|W|Inferred from experiment],[APPH|S|Assay of protein purified  to homogeneity]","11121424,15582999,16207917,1630901,3413113,3519576,7836317,9422614,",Strong,b0076,ECK120000524
b4726,85467,85511,-,yabR,44,,protein YabR,,,,b4726,ECK125276528
b0077,85630,87354,+,ilvI,1724,,"acetolactate synthase / acetohydroxybutanoate synthase, catalytic subunit",,"3891724,",,b0077,ECK120000493
b0078,87357,87848,+,ilvH,491,,"acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit",,,,b0078,ECK120000492
b0079,87860,87946,+,fruL,86,,,,,,b0079,ECK120001247
b0080,88028,89032,+,cra,1004,,DNA-binding transcriptional dual regulator Cra,,"1630901,1851954,2198273,8230205,9371462,",,b0080,ECK120000332
b0081,89634,90092,+,mraZ,458,,DNA-binding transcriptional repressor MraZ,"[IPI|W|Inferred from physical interaction],[APPHINH|S|Assay of protein purified to homogeneity from its native host],[IEP|W|Inferred from expression pattern],[HIFS|W|Human inference of function from sequence]","24659771,",Strong,b0081,ECK120001072
b0082,90094,91035,+,rsmH,941,,16S rRNA mC1402 methyltransferase,,,,b0082,ECK120001073
b0083,91032,91397,+,ftsL,365,,cell division protein FtsL,[IMP|W|Inferred from mutant phenotype],"1332942,",Weak,b0083,ECK120001074
b0084,91413,93179,+,ftsI,1766,,peptidoglycan DD-transpeptidase FtsI,,"20079830,28553265,30056491,30622193,6450748,7030331,",,b0084,ECK120000335
b0085,93166,94653,+,murE,1487,,"UDP--acetylmuramoyl-L-alanyl-D-glutamate&mdash;2,6-diaminopimelate ligase",,"2198024,2692800,2841306,",,b0085,ECK120000614
b0086,94650,96008,+,murF,1358,,D-alanyl-D-alanine-adding enzyme,,"17216029,19229285,2841306,31743648,4563986,",,b0086,ECK120000615
b0087,96002,97084,+,mraY,1082,,phospho--acetylmuramoyl-pentapeptide-transferase,,,,b0087,ECK120000597
b0088,97087,98403,+,murD,1316,,UDP--acetylmuramoyl-L-alanine&mdash;D-glutamate ligase,,,,b0088,ECK120000613
b0089,98403,99647,+,ftsW,1244,,essential cell division protein FtsW,,"2509435,26335199,30112777,",,b0089,ECK120000338
b0090,99644,100711,+,murG,1067,,N-acetylglucosaminyl transferase,,"10338150,10790316,11181358,11720853,11846551,12022887,12069409,12654311,12758253,12813070,12851929,15157881,15793120,17692452,2187180,2197603,2681153,6998962,9721276,",,b0090,ECK120000616
b0091,100765,102240,+,murC,1475,,UDP--acetylmuramate&mdash;L-alanine ligase,,,,b0091,ECK120000612
b0092,102233,103153,+,ddlB,920,,D-alanine&mdash;D-alanine ligase B,,"16158456,17267218,18774266,19053785,19196510,19229285,21827632,21831641,22876277,32094588,4567144,",,b0092,ECK120000208
b0093,103155,103985,+,ftsQ,830,,cell division protein FtsQ,[IMP|W|Inferred from mutant phenotype],"6998961,",Weak,b0093,ECK120000336
b0094,103982,105244,+,ftsA,1262,,cell division protein FtsA,[IMP|W|Inferred from mutant phenotype],"19415799,21257762,22111832,22328664,31893220,4583216,",Weak,b0094,ECK120000333
b0095,105305,106456,+,ftsZ,1151,,cell division protein FtsZ,[IMP|W|Inferred from mutant phenotype],"2045370,30056491,30742332,31893220,",Weak,b0095,ECK120000341
b0096,106557,107474,+,lpxC,917,,UDP-3--acetylglucosamine deacetylase,,"21193611,23091052,",,b0096,ECK120000259
b0097,107705,108217,+,secM,512,,SecA translation regulator,[IE|W|Inferred from experiment],"10986266,11477104,11574054,1833384,2146254,21464303,2536662,",Weak,b0097,ECK120001075
b0098,108279,110984,+,secA,2705,,protein translocation ATPase,,"2841285,",,b0098,ECK120000925
b0099,111044,111433,+,mutT,389,,8-oxo-dGTP diphosphatase,,"11856756,30087411,",,b0099,ECK120000619
b0100,111564,111698,-,b0100,134,,,,,,,ECK120002709
b0101,111649,111846,-,yacG,197,,DNA gyrase inhibitor YacG,[APPH|S|Assay of protein purified  to homogeneity],"18586829,",Strong,b0101,ECK120002191
b0102,111856,112599,-,zapD,743,,cell division factor ZapD,,,,b0102,ECK120002190
b0103,112599,113219,-,coaE,620,,dephospho-CoA kinase,,,,b0103,ECK120002189
b4727,113244,113288,+,yacM,44,,protein YacM,,,,b4727,ECK125276507
b0104,113444,114487,+,guaC,1043,,GMP reductase,,,,b0104,ECK120000415
b0105,114407,114514,-,b0105,107,,,,,,,ECK120002710
b0106,114522,115724,-,hofC,1202,,inner membrane protein HofC,,,,b0106,ECK120001732
b0107,115714,117099,-,hofB,1385,,T2SSE family protein,,,,b0107,ECK120002011
b0108,117109,117549,-,ppdD,440,,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,,"10811613,23006128,",,b0108,ECK120002012
b0109,117752,118645,-,nadC,893,,quinolinate phosphoribosyltransferase (decarboxylating),,,,b0109,ECK120001500
b0110,118733,119284,+,ampD,551,,"1,6-anhydro--acetylmuramoyl-L-alanine amidase",,"19648247,1987637,9411793,",,b0110,ECK120000037
b0111,119281,120135,+,ampE,854,,protein AmpE,,,,b0111,ECK120000038
b0112,120178,121551,-,aroP,1373,,aromatic amino acid:H symporter AroP,,,,b0112,ECK120000080
b0113,122092,122856,+,pdhR,764,,DNA-binding transcriptional dual regulator PdhR,"[GEA|W|Gene expression analysis],[APPP|W|Assay of partially-purified protein ],[APPH|S|Assay of protein purified  to homogeneity],[HIFS|W|Human inference of function from sequence]","17513468,2060763,7783622,8057842,8262214,",Strong,b0113,ECK120001076
,122697,122857,-,tp2,160,,,,,,,ECK120002605
b0114,123017,125680,+,aceE,2663,,pyruvate dehydrogenase E1 component,,"2655695,6343085,",,b0114,ECK120000021
b0115,125695,127587,+,aceF,1892,,"pyruvate dehydrogenase, E2 subunit",,"12501174,12651118,1696836,3087386,3101735,327021,3297160,3902834,3903169,6308128,6344073,6803765,6998493,",,b0115,ECK120000022
b0116,127912,129336,+,lpd,1424,,lipoamide dehydrogenase,,,,b0116,ECK120000536
b0117,129407,131260,-,yacH,1853,,DUF3300 domain-containing protein YacH,,,,b0117,ECK120002192
b0118,131615,134212,+,acnB,2597,,AcnB,,"17384228,19383690,21972224,22198407,",,b0118,ECK120002193
b0119,134388,134750,+,yacL,362,,UPF0231 family protein YacL,,,,b0119,ECK120002328
b0120,134788,135582,-,speD,794,,-adenosylmethionine decarboxylase proenzyme,,"159306,1872800,2666401,3076346,3091070,3514574,3902085,6351843,6353153,6353154,7009611,7752200,8081865,",,b0120,ECK120000951
b0121,135598,136464,-,speE,866,,spermidine synthase,,,,b0121,ECK120000952
b0122,136570,136917,-,yacC,347,,putative lipoprotein YacC,,,,b0122,ECK120001077
b0123,137083,138633,+,cueO,1550,,multicopper oxidase CueO,,"12099683,12142427,16828082,17215254,17217912,19297322,20727354,21142169,22564733,23337502,23933321,27710945,28473295,30770473,31586033,",,b0123,ECK120002194
b0124,138835,141225,-,gcd,2390,,quinoprotein glucose dehydrogenase,,"8419307,8554505,",,b0124,ECK120000362
b0125,141431,141967,+,hpt,536,,hypoxanthine phosphoribosyltransferase,,,,b0125,ECK120002443
b0126,142008,142670,-,can,662,,carbonic anhydrase 2,,"32576029,8673298,",,b0126,ECK120002195
b0127,142779,143705,+,yadG,926,,putative ABC transporter ATP-binding protein YadG,,"31438868,",,b0127,ECK120002196
b0128,143702,144472,+,yadH,770,,putative ABC transporter membrane subunit YadH,,"29176613,",,b0128,ECK120002197
b0129,144577,145017,+,yadI,440,,putative PTS enzyme IIA component YadI,,"31438868,",,b0129,ECK120002198
b0130,145081,146310,+,yadE,1229,,putative polysaccharide deacetylase lipoprotein YadE,,"24391520,",,b0130,ECK120001687
b0131,146314,146694,-,panD,380,,aspartate 1-decarboxylase proenzyme,,,,b0131,ECK120001685
b0132,146968,147870,+,rpnC,902,,recombination-promoting nuclease RpnC,[IMP|W|Inferred from mutant phenotype],"28096446,",Weak,b0132,ECK120001686
b0133,147944,148795,-,panC,851,,pantothenate synthetase,,"12748954,16705359,23550886,",,b0133,ECK120001684
b0134,148807,149601,-,panB,794,,3-methyl-2-oxobutanoate hydroxymethyltransferase,,"12773157,2995306,8837478,",,b0134,ECK120001618
b0135,149715,150953,-,yadC,1238,,fimbrial tip-adhesin YadC,"[IMP|W|Inferred from mutant phenotype],[HIFS|W|Human inference of function from sequence]","20345943,21344461,23382825,27696649,",Weak,b0135,ECK120001621
b0136,151003,151599,-,yadK,596,,putative fimbrial protein YadK,"[IMP|W|Inferred from mutant phenotype],[HIFS|W|Human inference of function from sequence]","20345943,21344461,23382825,27696649,",Weak,b0136,ECK120002200
b0137,151626,152231,-,yadL,605,,putative fimbrial protein YadL,,"21344461,23382825,",,b0137,ECK120002201
b0138,152243,152812,-,yadM,569,,putative fimbrial protein YadM,"[IMP|W|Inferred from mutant phenotype],[HIFS|W|Human inference of function from sequence]","20345943,21344461,23382825,27696649,",Weak,b0138,ECK120002202
b0139,152829,155426,-,htrE,2597,,putative fimbrial usher protein HtrE,"[IMP|W|Inferred from mutant phenotype],[HIFS|W|Human inference of function from sequence]","20345943,21344461,23382825,27696649,8102362,",Weak,b0139,ECK120001897
b0140,155461,156201,-,yadV,740,,putative fimbrial chaperone YadV,"[IMP|W|Inferred from mutant phenotype],[HIFS|W|Human inference of function from sequence]","21344461,23382825,27696649,8102362,",Weak,b0140,ECK120001898
b0141,156299,156883,-,yadN,584,,putative fimbrial protein YadN,"[IMP|W|Inferred from mutant phenotype],[HIFS|W|Human inference of function from sequence]","20345943,21344461,23382825,27696649,",Weak,b0141,ECK120002203
b0142,157253,157732,-,folK,479,,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,,,,b0142,ECK120001342
b0143,157729,159126,-,pcnB,1397,,poly(A) polymerase I,,"17179213,18682528,28426097,",,b0143,ECK120000683
b0144,159186,160112,-,gluQ,926,,glutamyl-Q tRNA synthetase,,,,b0144,ECK120001331
b0145,160149,160604,-,dksA,455,,RNA polymerase-binding transcription factor DksA,[IMP|W|Inferred from mutant phenotype],"12142416,",Weak,b0145,ECK120000224
b0146,160782,161486,-,sfsA,704,,putative DNA-binding transcriptional regulator of maltose metabolism,"[IMP|W|Inferred from mutant phenotype],[AIFS|W|Automated inference of function from sequence]","15556475,2013578,",Weak,b0146,ECK120000938
b0147,161501,162031,-,thpR,530,,"RNA 2',3'-cyclic phosphodiesterase",,,,b0147,ECK120002205
b0148,162105,164534,+,hrpB,2429,,RNA-dependent NTPase HrpB,,,,b0148,ECK120002204
b0149,164730,167264,+,mrcB,2534,,PBP1B&gamma;,,"3898066,",,b0149,ECK120000598
b0149,164730,167264,+,mrcB,2534,,peptidoglycan glycosyltransferase / peptidoglycan DD-transpeptidase MrcB,,"3898066,",,b0149,ECK120000598
b0150,167484,169727,+,fhuA,2243,,ferrichrome outer membrane transporter/phage receptor,[IMP|W|Inferred from mutant phenotype],"12383253,12558182,30271910,",Weak,b0150,ECK120000296
b0151,169778,170575,+,fhuC,797,,iron(III) hydroxamate ABC transporter ATP binding subunit,,,,b0151,ECK120000298
b0152,170575,171465,+,fhuD,890,,iron(III) hydroxamate ABC transporter periplasmic binding protein,,"16158230,1830209,21194366,2254301,7651325,",,b0152,ECK120000299
b0153,171462,173444,+,fhuB,1982,,iron(III) hydroxamate ABC transporter membrane subunit,,"8861219,",,b0153,ECK120000297
b0154,173602,174882,-,hemL,1280,,"glutamate-1-semialdehyde 2,1-aminomutase",,"1427085,15126461,1900346,21620993,2511063,25716896,26637361,30537593,30644739,31362590,",,b0154,ECK120000425
b4765,175048,175095,+,yadX,47,,protein YadX,,,,b4765,ECK125286412
b0155,175107,176528,+,clcA,1421,,chloride:H antiporter ClcA,,,,b0155,ECK120002206
b4728,176552,176617,+,yadW,65,,protein YadW,,,,b4728,ECK125276517
b0156,176610,176954,+,erpA,344,,iron-sulfur cluster insertion protein ErpA,,,,b0156,ECK120002207
b0157,177001,177624,-,yadS,623,,PF03458 family protein YadS,,"11790740,31438868,",,b0157,ECK120002208
b0158,177662,178462,-,btuF,800,,vitamin B ABC transporter periplasmic binding protein,,"11574054,11790740,12468528,12475936,17073449,18358587,",,b0158,ECK120002209
b0159,178455,179153,-,mtn,698,,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,,"11489131,20080587,",,b0159,ECK120001078
b0160,179237,180754,+,dgt,1517,,dGTP triphosphohydrolase,,"1677906,2165018,31019074,",,b0160,ECK120000219
b0161,180884,182308,+,degP,1424,,periplasmic serine endoprotease DegP,,,,b0161,ECK120000456
b0162,182463,183620,+,cdaR,1157,,DNA-binding transcriptional activator CdaR,"[GEA|W|Gene expression analysis],[IFC|S|Inferred by functional complementation]","10762278,14645248,",Strong,b0162,ECK120002210
b0163,183709,184095,-,yaeH,386,,DUF3461 domain-containing protein YaeH,,,,b0163,ECK120002211
b0164,184257,185069,-,yaeI,812,,phosphodiesterase YaeI,[APPH|S|Assay of protein purified  to homogeneity],"15808744,",Strong,b0164,ECK120002212
b0165,184987,185118,-,b0165,131,,,,,,,ECK120002711
b0166,185123,185947,-,dapD,824,,tetrahydrodipicolinate succinylase,,"10368155,1677906,3700390,6094577,",,b0166,ECK120000201
b0167,185978,188650,-,glnD,2672,,PII uridylyltransferase / uridylyl removing enzyme,,"16740928,239942,2868841,2868842,7629080,7961766,",,b0167,ECK120001377
b0168,188712,189506,-,map,794,,methionine aminopeptidase,,"19889537,20207144,",,b0168,ECK120000563
b4414,189712,189847,+,tff,135,,putative small RNA T44,[ICA|W|Inferred by computational analysis],"11553332,",Weak,b4414,ECK120002606
b0169,189874,190599,+,rpsB,725,,30S ribosomal subunit protein S2,,,,b0169,ECK120000892
b0170,190857,191708,+,tsf,851,,protein chain elongation factor EF-Ts,[APPH|S|Assay of protein purified  to homogeneity],"17608803,21112298,21717022,344309,379535,",Strong,b0170,ECK120001022
b0171,191855,192580,+,pyrH,725,,UMP kinase,,,,b0171,ECK120001493
b0172,192872,193429,+,frr,557,,ribosome-recycling factor,"[IE|W|Inferred from experiment],[IMP|W|Inferred from mutant phenotype]","10452886,15522083,1860827,2684966,3888114,6337880,782542,9258432,9463391,",Weak,b0172,ECK120000329
b0173,193521,194717,+,dxr,1196,,1-deoxy-D-xylulose 5-phosphate reductoisomerase,,,,b0173,ECK120002371
b0174,194903,195664,+,uppS,761,,)-farnesyl-diphosphate specific],,"25020247,",,b0174,ECK120002712
b0175,195677,196534,+,cdsA,857,,CDP-diglyceride synthetase,,"2995358,",,b0175,ECK120000135
b0176,196546,197898,+,rseP,1352,,intramembrane zinc metalloprotease RseP,"[IMP|W|Inferred from mutant phenotype],[APPHINH|S|Assay of protein purified to homogeneity from its native host]","12183368,12183369,17179147,18268014,19706448,26716760,",Strong,b0176,ECK120002290
b0177,197928,200360,+,bamA,2432,,outer membrane protein assembly factor BamA,"[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity],[APPHINH|S|Assay of protein purified to homogeneity from its native host]","15851030,16556215,17088246,17214547,17404237,17542925,19748339,20378773,22037403,22178970,22331884,22544271,22753067,24376817,24598928,25567766,25638436,25943387,26394056,26900875,27332128,28569500,30271910,30297837,31724945,",Strong,b0177,ECK120002713
b0178,200482,200967,+,skp,485,,periplasmic chaperone Skp,,"18293996,19693,19780589,22505681,22589188,28648612,3056922,330494,331078,6387397,7017348,8175698,",,b0178,ECK120000448
b0179,200971,201996,+,lpxD,1025,,UDP-3--acyltransferase,,,,b0179,ECK120000310
b0180,202101,202556,+,fabZ,455,,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,,,,b0180,ECK120001257
b0181,202560,203348,+,lpxA,788,,acyl-[acyl-carrier-protein]&mdash;UDP--acyltransferase,,,,b0181,ECK120000538
b0182,203348,204496,+,lpxB,1148,,lipid A disaccharide synthase,,,,b0182,ECK120000539
b0183,204493,205089,+,rnhB,596,,RNase HII,,,,b0183,ECK120000852
b0184,205126,208608,+,dnaE,3482,,DNA polymerase III subunit &alpha;,,"6288664,",,b0184,ECK120000232
b0185,208621,209580,+,accA,959,,acetyl-CoA carboxyltransferase subunit &alpha;,,,,b0185,ECK120001591
b0186,209679,211820,+,ldcC,2141,,lysine decarboxylase 2,,"26383169,",,b0186,ECK120002714
b0187,211877,212266,+,yaeR,389,,VOC domain-containing protein YaeR,,,,b0187,ECK120002715
b0188,212331,213629,+,tilS,1298,,tRNA-lysidine synthetase,,"24820111,",,b0188,ECK120002716
