index,TF,Organism,Strain,Media,Supplement,genome_id,organism_id,num_binding_sites,num_samples,num_cond,project,binding tables,curated information,accession,doi,peak_intensity_measure,Method,TF Category,PMID,Media_new,Supplement_new,Contents,Additional_Info,Motif_Available?,Motif_Parameters,Note,BWcond1_1_name,BWcond1_1,BWcond1_2_name,BWcond1_2,BWcond2_1_name,BWcond2_1,BWcond2_2_name,BWcond2_2,BWcond3_1_name,BWcond3_1,BWcond3_2_name,BWcond3_2,BWcond4_1_name,BWcond4_1,BWcond4_2_name,BWcond4_2
10,YbaO,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,4.0,2,1,yTF1,M9|ybao_M9_binding_table.json,True,GSE111095,https://doi.org/10.1093/nar/gky752,MACE S/N,ChIP-exo,1 – Single TF,29394395.0,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,ybao_1.bw,R2,ybao_2.bw,,,,,,,,,,,,
11,YbaQ,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,41.0,2,1,yTF1,M9|ybaq_M9_binding_table.json,True,GSE111095,https://doi.org/10.1093/nar/gky752,MACE S/N,ChIP-exo,1 – Single TF,29394395.0,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,ybaq_1.bw,R2,ybaq_2.bw,,,,,,,,,,,,
12,YdcI,Escherichia coli,K-12 MG1655,M9,"pH 5.5, pH 7.0, or pH 8.5",NC_000913.3,e_coli,40.0,6,3,yTF1,ph5|ydci_ph5_binding_table.json;ph7|ydci_ph7_binding_table.json;ph8|ydci_ph8_binding_table.json,True,GSE111095,https://doi.org/10.1093/nar/gky752,MACE S/N,ChIP-exo,1 – Single TF,29394395.0,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,pH5 – R1,ydci_ph5_1.bw,pH5 – R2,ydci_ph5_2.bw,pH7 – R1,ydci_ph7_1.bw,pH7 – R2,ydci_ph7_2.bw,pH8 – R1,ydci_ph8_1.bw,pH8 – R2,ydci_ph8_2.bw,,,,
13,YddM,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,18.0,2,1,yTF1,M9|yddm_M9_binding_table.json,True,GSE111095,https://doi.org/10.1093/nar/gky752,MACE S/N,ChIP-exo,1 – Single TF,29394395.0,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,yddm_1.bw,R2,yddm_2.bw,,,,,,,,,,,,
14,YheO,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,4.0,2,1,yTF1,M9|yheo_M9_binding_table.json,True,GSE111095,https://doi.org/10.1093/nar/gky752,MACE S/N,ChIP-exo,1 – Single TF,29394395.0,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,yheo_1.bw,R2,yheo_2.bw,,,,,,,,,,,,
15,YiaG,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,2,1,yTF1,M9|yiag_M9_binding_table.json,True,GSE159777,https://doi.org/10.1093/nar/gkab735,MACE S/N,ChIP-exo,1 – Single TF,34428301.0,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,yiag_1.bw,R2,yiag_2.bw,,,,,,,,,,,,
16,YieP,Escherichia coli,K-12 MG1655,M9,100 mM 3-hydroxypropionic acid (3-HP),NC_000913.3,e_coli,23.0,4,1,yTF1,M9|yiep_M9_binding_table.json,True,GSE111095,https://doi.org/10.1093/nar/gky752,MACE S/N,ChIP-exo,1 – Single TF,29394395.0,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,yiep_1.bw,R2,yiep_2.bw,3HP – R1,yiep_3hp_1.bw,3HP – R2,yiep_3hp_2.bw,,,,,,,,
17,YihL,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,2,1,yTF2,glc|yihl_glc_binding_table.json,True,GSE159777,https://doi.org/10.1093/nar/gkab735,MACE S/N,ChIP-exo,1 – Single TF,34428301.0,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,yihl_1.bw,R2,yihl_2.bw,,,,,,,,,,,,
18,YihW,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,2,1,yTF2,glc|yihw_glc_binding_table.json,True,GSE159777,https://doi.org/10.1093/nar/gkab735,MACE S/N,ChIP-exo,1 – Single TF,34428301.0,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,yihw_1.bw,R2,yihw_2.bw,,,,,,,,,,,,
19,YjdC,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,2,1,yTF1,M9|yjdc_M9_binding_table.json,True,GSE159777,https://doi.org/10.1093/nar/gkab735,MACE S/N,ChIP-exo,1 – Single TF,34428301.0,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,yjdc_1.bw,R2,yjdc_2.bw,,,,,,,,,,,,
20,YjhI,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,2,1,yTF2,glc|yjhi_glc_binding_table.json,True,GSE159777,https://doi.org/10.1093/nar/gkab735,MACE S/N,ChIP-exo,1 – Single TF,34428301.0,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,yjhi_1.bw,R2,yjhi_2.bw,,,,,,,,,,,,
21,YneJ,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,2,1,yTF2,glc|ynej_glc_binding_table.json,True,GSE159777,https://doi.org/10.1093/nar/gkab735,MACE S/N,ChIP-exo,1 – Single TF,34428301.0,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,ynej_1.bw,R2,ynej_2.bw,,,,,,,,,,,,
22,YnfL,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,2,1,yTF2,glc|ynfl_glc_binding_table.json,True,GSE159777,https://doi.org/10.1093/nar/gkab735,MACE S/N,ChIP-exo,1 – Single TF,34428301.0,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,ynfl_1.bw,R2,ynfl_2.bw,,,,,,,,,,,,
23,YpdC,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,2,1,yTF2,glc|ypdc_glc_binding_table.json,True,GSE159777,https://doi.org/10.1093/nar/gkab735,MACE S/N,ChIP-exo,1 – Single TF,34428301.0,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,ypdc_1.bw,R2,ypdc_2.bw,,,,,,,,,,,,
24,YqhC,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,2,1,yTF2,M9|yqhc_M9_binding_table.json,True,GSE159777,https://doi.org/10.1093/nar/gkab735,MACE S/N,ChIP-exo,1 – Single TF,34428301.0,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,yqhc_1.bw,R2,yqhc_2.bw,,,,,,,,,,,,
25,ZraR,Escherichia coli,K-12 MG1655,LB,1 mM ZnCl2,NC_000913.3,e_coli,,3,1,TCS,ZnCl2|zrar_ZnCl2_binding_table.json,True,GSE143856,https://doi.org/10.1128/mSystems.00980-20,MACE S/N,ChIP-exo,1 – Single TF,33172971.0,LB (Luria-Bertani) broth,1 mM ZnCl2,"{LB: {1% NaCl, 1% tryptone, 0.5% yeast extract}}",--,True,,,bio-rep1 – R1,ZraR_1_S3_R1.bw,bio-rep1 – R2,ZraR_1_S3_R2.bw,bio-rep2 – R1,ZraR_2_S4_R1.bw,,,,,,,,,,
26,Fur,Escherichia coli,O157:H7 EDL933,M9,0.1 mM FeCl2 ,AE005174.2,e_coli,,2,1,EDL933,Fe|fur_Fe_binding_table.json,True,GSE181770,Ye,MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, Iron-replete conditions: {0,1mL FeCl2}}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,edl933furfinal1.bw,R2,edl933furfinal2.bw,,,,,,,,,,,,
27,Fur,Escherichia coli,SMS-3-5,M9,0.1 mM FeCl2,NC_010498.1,e_coli,,2,1,SMS-3-5,Fe|fur_Fe_binding_table.json,True,GSE181770,Ye,MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, Iron-replete conditions: {0,1mL FeCl2}}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,smsfurfinal1.bw,R2,smsfurfinal2.bw,,,,,,,,,,,,
28,Fur,Escherichia coli,UMN026,M9,0.1 mM FeCl2,CU928163.2,e_coli,,2,1,UMN026,Fe|fur_Fe_binding_table.json,True,GSE181770,Ye,MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, Iron-replete conditions: {0,1mL FeCl2}}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,umn026furfinal1.bw,R2,umn026furfinal2.bw,,,,,,,,,,,,
29,Dps,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,4,2,conformation,expo|dps_expo_binding_table.json;sta|dps_sta_binding_table.json,True,GSE181767,Kim D (Palsson),MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,exponential growth – R1,dps_expo_1.bw,exponential growth – R2,dps_expo_2.bw,stationary growth – R1,dps_sta_1.bw,stationary growth – R2,dps_sta_2.bw,,,,,,,,
30,Fis,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,4,2,conformation,expo|fis_expo_binding_table.json;sta|fis_sta_binding_table.json,True,GSE181767,Kim D (Palsson),MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,exponential growth – R1,fis_expo_1.bw,exponential growth – R2,fis_expo_2.bw,stationary growth – R1,fis_sta_1.bw,stationary growth – R2,fis_sta_2.bw,,,,,,,,
31,GyrA,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,4,2,conformation,expo|gyra_expo_binding_table.json;sta|gyra_sta_binding_table.json,True,GSE181767,Kim D (Palsson),MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,exponential growth – R1,gyra_expo_1.bw,exponential growth – R2,gyra_expo_2.bw,stationary growth – R1,gyra_sta_1.bw,stationary growth – R2,gyra_sta_2.bw,,,,,,,,
32,GyrB,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,4,2,conformation,expo|gyrb_expo_binding_table.json;sta|gyrb_sta_binding_table.json,True,GSE181767,Kim D (Palsson),MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,exponential growth – R1,gyrb_expo_1.bw,exponential growth – R2,gyrb_expo_2.bw,stationary growth – R1,gyrb_sta_1.bw,stationary growth – R2,gyrb_sta_2.bw,,,,,,,,
33,H-NS,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,4,2,conformation,expo|h-ns_expo_binding_table.json;sta|h-ns_sta_binding_table.json,True,GSE181767,Kim D (Palsson),MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,exponential growth – R1,hns_expo_1.bw,exponential growth – R2,hns_expo_2.bw,stationary growth – R1,hns_sta_1.bw,stationary growth – R2,hns_sta_2.bw,,,,,,,,
34,HupA,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,4,2,conformation,expo|hupa_expo_binding_table.json;sta|hupa_sta_binding_table.json,True,GSE181767,Kim D (Palsson),MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,exponential growth – R1,hupa_expo_1.bw,exponential growth – R2,hupa_expo_2.bw,stationary growth – R1,hupa_sta_1.bw,stationary growth – R2,hupa_sta_2.bw,,,,,,,,
35,HupB,Escherichia coli,K-12 MG1655,M9,--,NC_000913.3,e_coli,,4,2,conformation,expo|hupb_expo_binding_table.json;sta|hupb_sta_binding_table.json,True,GSE181767,Kim D (Palsson),MACE S/N,ChIP-exo,1 – Single TF,,M9,"{Carbon Source: {0.2% Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,exponential growth – R1,hupb_expo_1.bw,exponential growth – R2,hupb_expo_2.bw,stationary growth – R1,hupb_sta_1.bw,stationary growth – R2,hupb_sta_2.bw,,,,,,,,
