locus_tag,start,stop,strand,gene_name,start_codon_pos
PA0087,104853,105362,+,PA0087,104853
PA0088,105359,107218,+,PA0088,105359
PA0089,107182,108228,+,PA0089,107182
PA0090,108221,110929,+,clpV1,108221
PA0091,110976,112907,+,vgrG1,110976
PA0092,113022,113306,-,PA0092,113306
PA0093,113303,114595,-,PA0093,114595
PA0094,114611,115045,-,PA0094,115045
PA0095,115299,117524,+,PA0095,115299
PA0096,117552,118001,+,PA0096,117552
PA0097,117931,119130,+,PA0097,117931
PA0098,119127,120164,+,PA0098,119127
PA0099,120164,121324,+,PA0099,120164
PA0100,121346,122266,+,PA0100,121346
PA0101,122248,123495,+,PA0101,122248
PA0102,123871,124599,+,PA0102,123871
PA0103,124810,126381,+,PA0103,124810
PA0103a,126368,127006,-,PA0103a,127006
PA0105,127378,128502,+,coxB,127378
PA0106,128512,130104,+,coxA,128512
PA0107,130115,130669,+,PA0107,130115
PA0108,130680,131567,+,coIII,130680
PA0109,131583,131792,-,PA0109,131792
PA0110,131808,132602,+,PA0110,131808
PA0111,132577,133155,+,PA0111,132577
PA0112,133220,134293,+,PA0112,133220
PA0113,134319,135233,+,PA0113,134319
PA0114,135259,135894,+,senC,135259
PA0115,135934,136386,-,PA0115,136386
PA0116,136518,136991,+,PA0116,136518
PA0117,137248,137976,+,PA0117,137248
PA0118,138001,138588,+,PA0118,138001
PA0119,138818,140167,+,PA0119,138818
PA0120,140216,140902,+,PA0120,140216
PA0121,141003,141737,+,PA0121,141003
PA0122,141917,142327,+,PA0122,141917
PA0123,142359,143267,-,PA0123,143267
PA0124,143567,143848,-,PA0124,143848
PA0125,143845,144072,-,PA0125,144072
PA0126,144248,144868,-,PA0126,144868
PA0127,144969,145469,+,PA0127,144969
PA0128,145542,145883,+,PA0128,145542
PA0129,145965,147392,-,gabP,147392
PA0130,147561,149054,-,PA0130,149054
PA0131,149138,149425,-,PA0131,149425
PA0132,149425,150771,-,PA0132,150771
PA0133,150906,151823,+,PA0133,150906
PA0134,151936,153306,-,PA0134,153306
PA0135,153696,153836,+,PA0135,153696
PA0136,154417,155988,+,PA0136,154417
PA0137,155988,157085,+,PA0137,155988
PA0138,157108,158034,+,PA0138,157108
PA0139,158199,158762,+,ahpC,158199
PA0140,158907,160472,+,ahpF,158907
PA0141,160552,161448,-,PA0141,161448
PA0142,161906,163255,+,PA0142,161906
PA0143,163363,164415,+,nuh,163363
PA0144,164443,165069,-,PA0144,165069
PA0145,165219,165737,-,PA0145,165737
PA0146,165976,167073,+,PA0146,165976
PA0147,167146,168108,+,PA0147,167146
PA0148,168213,169163,+,PA0148,168213
PA0149,169361,169906,+,PA0149,169361
PA0150,169903,170898,+,PA0150,169903
PA0151,171047,173434,+,PA0151,171047
PA0152,173811,174638,+,pcaQ,173811
PA0153,174773,175492,+,pcaH,174773
PA0154,175503,176108,+,pcaG,175503
PA0155,176315,177154,+,pcaR,176315
PA0156,177307,178458,+,PA0156,177307
PA0157,178455,179525,+,PA0157,178455
PA0158,179522,182569,+,PA0158,179522
PA0159,182768,183706,+,PA0159,182768
PA0160,183822,184007,+,PA0160,183822
PA0162,184594,185928,+,opdC,184594
PA0163,185957,186754,-,PA0163,186754
PA0164,186832,188448,+,PA0164,186832
PA0165,189120,189956,+,PA0165,189120
PA0166,190198,191604,+,PA0166,190198
PA0167,191697,192362,+,PA0167,191697
PA0168,192368,192958,+,PA0168,192368
PA0169,192965,193672,-,PA0169,193672
PA0170,193799,194179,-,PA0170,194179
PA0171,194206,194748,-,PA0171,194748
PA0172,194757,196748,-,PA0172,196748
PA0173,197011,198060,-,PA0173,198060
PA0174,198080,198682,-,PA0174,198682
PA0175,198688,199530,-,PA0175,199530
PA0176,199600,201639,-,aer2,201639
PA0177,201675,202160,-,PA0177,202160
PA0178,202147,204066,-,PA0178,204066
PA0179,204094,204459,-,PA0179,204459
PA0180,204657,205829,-,cttP,205829
PA0181,206022,206954,-,PA0181,206954
PA0182,207071,207823,+,PA0182,207071
PA0183,207923,209533,-,atsA,209533
PA0184,209621,210460,-,PA0184,210460
PA0185,210457,212073,-,PA0185,212073
PA0186,212340,213401,+,PA0186,212340
PA0187,213819,214634,+,PA0187,213819
PA0188,214631,215512,+,PA0188,214631
PA0189,215550,216908,-,PA0189,216908
PA0190,217156,217881,+,PA0190,217156
PA0191,217905,218822,-,PA0191,218822
PA0192,219172,221544,+,PA0192,219172
PA0193,221585,222487,+,PA0193,221585
PA0194,222555,223454,+,PA0194,222555
PA0195,224101,225219,+,pntAA,224101
PA0195.1,225295,225603,+,pntAB,225295
PA0196,225603,227039,+,pntB,225603
PA0197,227382,228194,+,tonB2,227382
PA0198,228223,228942,+,exbB1,228223
PA0199,228944,229345,+,exbD1,228944
PA0200,229526,229738,-,PA0200,229738
PA0201,229954,230535,+,PA0201,229954
PA0202,230543,232000,-,PA0202,232000
PA0203,232066,233100,-,PA0203,233100
PA0204,233123,233932,-,PA0204,233932
PA0205,233929,234849,-,PA0205,234849
PA0206,234875,235987,-,PA0206,235987
PA0207,236218,237111,+,PA0207,236218
PA0208,237232,238896,+,mdcA,237232
PA0209,238896,239777,+,PA0209,238896
PA0210,239779,240078,+,mdcC,239779
PA0211,240071,240934,+,mdcD,240071
PA0212,240931,241737,+,mdcE,240931
PA0213,241753,242445,+,PA0213,241753
PA0214,242442,243374,+,PA0214,242442
PA0215,243431,243835,+,PA0215,243431
PA0216,243841,244605,+,PA0216,243841
PA0217,244690,245619,-,PA0217,245619
PA0218,245948,246868,-,PA0218,246868
PA0219,247219,248709,+,PA0219,247219
PA0220,248767,250200,+,PA0220,248767
PA0221,250231,251613,+,PA0221,250231
PA0222,251777,252835,+,PA0222,251777
PA0223,252913,253794,-,PA0223,253794
PA0224,253854,254636,-,PA0224,254636
PA0225,254791,255330,+,PA0225,254791
PA0226,255481,256332,+,PA0226,255481
PA0227,256329,257111,+,PA0227,256329
PA0228,257108,258313,+,pcaF,257108
PA0229,258463,259761,+,pcaT,258463
PA0230,259784,261163,+,pcaB,259784
PA0231,261179,261970,+,pcaD,261179
PA0232,261981,262382,+,pcaC,261981
PA0233,262557,263498,+,PA0233,262557
PA0234,263689,264522,+,PA0234,263689
PA0235,264964,266310,-,pcaK,266310
PA0236,266616,267395,+,PA0236,266616
PA0237,267638,268681,+,PA0237,267638
PA0238,268704,269519,+,PA0238,268704
PA0239,269669,270547,+,PA0239,269669
PA0240,270573,271838,-,PA0240,271838
PA0241,271904,273229,-,PA0241,273229
PA0242,273775,275679,+,PA0242,273775
PA0243,275772,276440,+,PA0243,275772
PA0244,276480,277334,-,PA0244,277334
PA0245,277331,277777,-,aroQ2,277777
PA0246,277894,279399,-,PA0246,279399
PA0247,279574,280758,-,pobA,280758
PA0248,280936,281802,+,PA0248,280936
PA0249,281799,282245,-,PA0249,282245
PA0250,282323,282757,-,PA0250,282757
PA0251,282912,283553,-,PA0251,283553
PA0252,283818,284105,-,PA0252,284105
PA0253,284197,284673,-,PA0253,284673
PA0254,284714,286204,-,PA0254,286204
PA0255,286338,287024,-,PA0255,287024
PA0256,287188,288120,-,PA0256,288120
PA0257,288384,289175,-,PA0257,289175
PA0258,289205,289390,-,PA0258,289390
PA0259,289562,291004,-,PA0259,291004
PA0260,291154,293304,-,PA0260,293304
PA0261,293301,293798,-,PA0261,293798
PA0262,293802,296861,-,PA0262,296861
PA0263,297043,297561,-,hcpC,297561
PA0263.1,298816,298892,-,PA0263.1,298892
PA0265,299522,300973,+,gabD,299522
PA0266,301218,302498,+,PA0266,301218
PA0267,302824,304023,+,PA0267,302824
PA0268,304177,305598,-,PA0268,305598
PA0269,305725,306162,+,PA0269,305725
PA0270,306174,306581,+,PA0270,306174
PA0271,306615,306899,+,PA0271,306615
PA0272,306896,307828,-,PA0272,307828
PA0273,307878,309092,-,PA0273,309092
PA0274,309255,310025,-,PA0274,310025
PA0275,310134,310820,-,PA0275,310820
PA0276,310896,311411,+,PA0276,310896
PA0277,311451,312209,-,PA0277,312209
PA0278,312381,313133,-,PA0278,313133
PA0279,313227,313925,+,PA0279,313227
PA0280,313938,314927,-,cysA,314927
PA0281,314931,315800,-,cysW,315800
PA0282,315811,316629,-,cysT,316629
PA0283,316791,317789,-,sbp,317789
PA0284,317966,318148,-,PA0284,318148
PA0285,318312,320594,-,PA0285,320594
PA0286,320766,321944,+,desA,320766
PA0287,322175,323560,+,gpuP,322175
PA0288,323616,324572,+,gpuA,323616
PA0289,324625,325587,+,gpuR,324625
PA0290,325700,326671,+,PA0290,325700
PA0291,327284,328666,+,oprE,327284
PA0292,328801,329907,-,aguA,329907
PA0293,329993,330871,-,aguB,330871
PA0294,331034,331699,-,aguR,331699
PA0295,331762,332823,-,PA0295,332823
PA0296,333079,334455,-,spuI,334455
PA0297,334734,335486,+,spuA,334734
PA0298,335527,336885,+,spuB,335527
PA0299,336951,338321,+,spuC,336951
PA0300,338437,339540,+,spuD,338437
PA0301,339959,341056,+,spuE,339959
PA0302,341111,342265,+,spuF,341111
PA0303,342292,343173,+,spuG,342292
PA0304,343256,344125,+,spuH,343256
PA0305,344303,346690,-,PA0305,346690
PA0306,346801,347853,+,PA0306,346801
PA0306a,347832,348335,-,PA0306a,348335
PA0307,348440,349051,-,PA0307,349051
PA0308,349050,350069,+,PA0308,349050
PA0309,350089,350841,-,PA0309,350841
PA0310,350890,351588,+,PA0310,350890
PA0311,351610,352164,-,PA0311,352164
PA0312,352430,352924,+,PA0312,352430
PA0313,352927,353619,-,PA0313,353619
PA0314,353691,354461,-,PA0314,354461
PA0315,354754,355191,+,PA0315,354754
PA0316,355248,356477,-,serA,356477
PA0317,356681,358075,+,PA0317,356681
PA0318,358167,358832,+,PA0318,358167
PA0319,358931,359920,+,PA0319,358931
PA0320,359982,360332,+,PA0320,359982
PA0321,360413,361447,-,PA0321,361447
PA0322,361463,362857,-,PA0322,362857
PA0323,363278,364321,-,PA0323,364321
PA0324,364369,365157,-,PA0324,365157
PA0325,365154,366083,-,PA0325,366083
PA0326,366080,367129,-,PA0326,367129
PA0327,367457,368422,+,PA0327,367457
PA0328,368462,370405,-,PA0328,370405
PA0329,370706,371038,-,PA0329,371038
PA0330,371162,371833,-,rpiA,371833
PA0331,372091,373605,+,ilvA1,372091
PA0332,373725,374192,+,PA0332,373725
PA0333,374243,375514,+,PA0333,374243
PA0334,375951,377189,-,PA0334,377189
PA0335,377239,377892,-,PA0335,377892
PA0336,378096,378575,+,ygdP,378096
PA0337,378598,380877,+,ptsP,378598
PA0338,380903,382033,+,PA0338,380903
PA0339,382037,382792,-,PA0339,382792
PA0340,382914,383717,+,PA0340,382914
PA0341,383727,384527,+,lgt,383727
PA0342,384733,385527,+,thyA,384733
PA0343,385554,386351,-,PA0343,386351
PA0344,386386,387765,-,PA0344,387765
PA0345,387758,389143,-,PA0345,389143
PA0346,389334,389696,+,PA0346,389334
PA0347,389733,390884,-,glpQ,390884
PA0348,391094,392188,+,PA0348,391094
PA0349,392185,393225,+,PA0349,392185
PA0350,393308,393814,+,folA,393308
PA0351,393830,394303,-,PA0351,394303
PA0352,394442,395827,-,PA0352,395827
PA0353,396057,397895,-,ilvD,397895
PA0354,398224,399420,-,PA0354,399420
PA0355,399493,400032,-,pfpI,400032
PA0356,400248,401072,+,PA0356,400248
PA0357,401131,401943,+,mutM,401131
PA0358,402020,402598,+,PA0358,402020
PA0359,402681,403025,+,PA0359,402681
PA0360,403295,404281,+,PA0360,403295
PA0361,404386,406119,-,PA0361,406119
PA0362,406247,406498,-,fdx1,406498
PA0363,406619,407098,-,coaD,407098
PA0364,407250,408845,-,PA0364,408845
PA0365,408901,409449,-,PA0365,409449
PA0366,409504,410934,-,PA0366,410934
PA0367,411224,411871,+,PA0367,411224
PA0367a,411856,412266,-,PA0367a,412266
PA0368,412329,413327,-,PA0368,413327
PA0370,413933,414529,-,PA0370,414529
PA0371,414529,416016,-,PA0371,416016
PA0372,416009,417406,-,PA0372,417406
PA0373,417527,418894,+,ftsY,417527
PA0374,418891,419562,+,ftsE,418891
PA0375,419562,420569,+,ftsX,419562
PA0376,420683,421537,+,rpoH,420683
PA0377,421602,422207,+,PA0377,421602
PA0378,422212,422943,-,PA0378,422943
PA0379,422980,423357,+,PA0379,422980
PA0380,423460,423660,+,PA0380,423460
PA0381,423719,424516,+,thiG,423719
PA0382,424670,425341,+,micA,424670
PA0383,425504,426850,+,PA0383,425504
PA0384,426863,427120,-,PA0384,427120
PA0385,427182,427505,-,PA0385,427505
PA0386,427586,428740,-,PA0386,428740
PA0387,428861,429454,-,PA0387,429454
PA0388,429451,429870,-,PA0388,429870
PA0389,430002,430622,-,PA0389,430622
PA0390,430630,431769,-,metX,431769
PA0391,431858,433825,-,PA0391,433825
PA0392,434226,434819,-,PA0392,434819
PA0393,434830,435651,-,proC,435651
PA0394,435663,436355,-,PA0394,436355
PA0395,436570,437604,+,pilT,436570
PA0396,437782,438930,+,pilU,437782
PA0397,438938,439837,-,PA0397,439837
PA0398,439991,440395,+,PA0398,439991
PA0399,440638,442011,+,PA0399,440638
PA0400,442008,443192,+,PA0400,442008
PA0401,443419,444690,-,PA0401,444690
PA0402,444687,445691,-,pyrB,445691
PA0403,445715,446227,-,pyrR,446227
PA0404,446339,446773,-,PA0404,446773
PA0405,446773,447342,-,PA0405,447342
PA0406,447391,448350,-,tonB3,448350
PA0407,448431,449384,-,gshB,449384
PA0408,449639,450046,+,pilG,449639
PA0409,450093,450458,+,pilH,450093
PA0410,450509,451045,+,pilI,450509
PA0411,451130,453178,+,pilJ,451130
PA0412,453239,454114,+,pilK,453239
PA0413,454126,461544,+,chpA,454126
PA0414,461537,462568,+,chpB,461537
PA0415,462565,463071,+,chpC,462565
PA0416,463079,463873,+,chpD,463079
PA0417,463949,464560,+,chpE,463949
PA0418,464568,465983,-,PA0418,465983
PA0419,466018,466740,-,PA0419,466740
PA0420,466833,468236,-,bioA,468236
PA0421,468410,469900,+,PA0421,468410
PA0422,470081,470650,+,PA0422,470081
PA0423,470662,471237,+,pasP,470662
PA0424,471306,471749,-,mexR,471749
PA0425,472024,473175,+,mexA,472024
PA0426,473191,476331,+,mexB,473191
PA0427,476333,477790,+,oprM,476333
PA0428,477886,479805,-,PA0428,479805
PA0429,480056,481126,-,PA0429,481126
PA0430,481196,482068,-,metF,482068
PA0431,482111,482665,-,PA0431,482665
PA0432,482706,484115,-,sahH,484115
PA0433,484404,484838,+,PA0433,484404
PA0434,484964,487156,+,PA0434,484964
PA0435,487167,488645,+,PA0435,487167
PA0436,488730,489350,+,PA0436,488730
PA0437,489387,490658,-,codA,490658
PA0438,490648,491898,-,codB,491898
PA0439,492080,493357,-,PA0439,493357
PA0440,493354,494721,-,PA0440,494721
PA0441,494816,496255,-,dht,496255
PA0442,496362,496478,-,PA0442,496478
PA0443,496871,498361,+,PA0443,496871
PA0444,498420,499703,+,PA0444,498420
PA0445,500104,501120,-,PA0445,501120
PA0446,501376,502599,-,PA0446,502599
PA0447,502719,503900,-,gcdH,503900
PA0448,504121,505029,+,PA0448,504121
PA0449,505047,505586,+,PA0449,505047
PA0450,505629,507251,-,PA0450,507251
PA0451,507631,508962,+,PA0451,507631
PA0452,508959,509753,+,PA0452,508959
PA0451a,509861,510592,+,PA0451a,509861
PA0454,510589,512790,-,PA0454,512790
PA0455,513051,514427,-,dbpA,514427
PA0456,514775,514984,+,PA0456,514775
PA0457,515135,515659,+,PA0457,515135
PA0457.1,515653,516027,-,PA0457.1,516027
PA0458,516029,517462,-,PA0458,517462
PA0459,518083,520635,+,PA0459,518083
PA0460,520737,521315,+,PA0460,520737
PA0461,521630,522517,-,PA0461,522517
PA0462,522660,523169,+,PA0462,522660
PA0463,523254,523943,+,creB,523254
PA0464,523943,525367,+,creC,523943
PA0465,525469,526827,+,creD,525469
PA0466,526877,527179,+,PA0466,526877
PA0467,527324,527944,-,PA0467,527944
PA0468,527963,528913,-,PA0468,528913
PA0469,528999,529856,+,PA0469,528999
PA0470,530029,532437,-,fiuA,532437
PA0471,532541,533512,-,PA0471,533512
PA0472,533509,534027,-,PA0472,534027
PA0473,534196,534945,+,PA0473,534196
PA0474,535085,535489,+,PA0474,535085
PA0475,535539,536108,+,PA0475,535539
PA0476,536142,537869,-,PA0476,537869
PA0477,538217,539143,-,PA0477,539143
PA0478,539231,539707,+,PA0478,539231
PA0479,539785,540735,-,PA0479,540735
PA0480,540839,541636,+,PA0480,540839
PA0481,541679,542122,+,PA0481,541679
PA0482,542170,544347,-,glcB,544347
PA0483,544654,545097,+,PA0483,544654
PA0484,545129,545644,+,PA0484,545129
PA0485,546334,547230,-,PA0485,547230
PA0486,547432,548406,-,PA0486,548406
PA0487,548468,549226,-,PA0487,549226
PA0488,549294,549614,-,PA0488,549614
PA0489,549656,550381,-,PA0489,550381
PA0490,550520,550813,-,PA0490,550813
PA0491,550867,551793,-,PA0491,551793
PA0492,551911,552669,+,PA0492,551911
PA0493,552746,552994,+,PA0493,552746
PA0494,553005,554381,+,PA0494,553005
PA0495,554383,555261,+,PA0495,554383
PA0496,555251,556228,+,PA0496,555251
PA0497,556275,557276,-,PA0497,557276
PA0498,557354,558361,-,PA0498,558361
PA0499,558377,559078,-,PA0499,559078
PA0500,559644,560702,+,bioB,559644
PA0501,560808,562013,+,bioF,560808
PA0502,562006,562728,+,PA0502,562006
PA0503,562721,563545,+,PA0503,562721
PA0504,563549,564235,+,bioD,563549
PA0505,564344,564574,+,PA0505,564344
PA0506,564914,566719,+,PA0506,564914
PA0507,566932,568728,+,PA0507,566932
PA0508,569002,570780,+,PA0508,569002
PA0509,571111,572592,-,nirN,572592
PA0510,572583,573422,-,PA0510,573422
PA0511,573433,574596,-,nirJ,574596
PA0512,574590,575105,-,PA0512,575105
PA0513,575080,575523,-,PA0513,575523
PA0514,575516,576040,-,nirL,576040
PA0515,576037,576489,-,PA0515,576489
PA0516,576498,577676,-,nirF,577676
PA0517,577673,578032,-,nirC,578032
PA0518,578029,578343,-,nirM,578343
PA0519,578394,580100,-,nirS,580100
PA0520,580316,581098,+,nirQ,580316
PA0521,581133,581660,+,PA0521,581133
PA0522,581668,581925,+,PA0522,581668
PA0523,582015,582455,+,norC,582015
PA0524,582455,583855,+,norB,582455
PA0525,583857,585695,+,PA0525,583857
PA0526,585702,585896,-,PA0526,585896
PA0527,585980,586663,-,dnr,586663
PA0527.1,586867,586990,+,rsmY,586867
PA0528,587017,587895,-,PA0528,587895
PA0529,587997,588698,+,PA0529,587997
PA0530,588924,590105,+,PA0530,588924
PA0531,590105,590821,+,PA0531,590105
PA0532,590896,591402,-,PA0532,591402
PA0533,591445,592935,+,PA0533,591445
PA0534,593273,594562,+,PA0534,593273
PA0535,594580,595134,+,PA0535,594580
PA0536,595245,596270,-,PA0536,596270
PA0537,596274,596882,-,PA0537,596882
PA0538,596970,597479,-,dsbB,597479
PA0539,597708,598538,+,PA0539,597708
PA0540,598608,598994,+,PA0540,598608
PA0541,599107,599565,+,PA0541,599107
PA0542,599757,600176,-,PA0542,600176
PA0543,600426,601394,+,PA0543,600426
PA0544,601398,602141,-,PA0544,602141
PA0545,602346,603650,+,PA0545,602346
PA0546,603706,604896,-,metK,604896
PA0547,604912,605913,-,PA0547,605913
PA0548,606160,608157,+,tktA,606160
PA0549,608157,609221,+,PA0549,608157
PA0550,609202,609999,-,PA0550,609999
PA0551,610214,611275,+,epd,610214
PA0552,611281,612444,+,pgk,611281
PA0553,612517,612717,+,PA0553,612517
PA0554,612877,613218,+,PA0554,612877
PA0555,613338,614402,+,fda,613338
PA0556,614468,614950,+,PA0556,614468
PA0557,614952,615608,-,PA0557,615608
PA0558,615607,616374,+,PA0558,615607
PA0559,616371,617549,-,PA0559,617549
PA0560,617662,618150,+,PA0560,617662
PA0561,618176,619330,+,PA0561,618176
PA0562,619332,620006,-,PA0562,620006
PA0563,620135,620488,-,PA0563,620488
PA0564,620666,621577,-,PA0564,621577
PA0565,621695,622033,+,PA0565,621695
PA0566,622023,622538,-,PA0566,622538
PA0567,622726,622884,+,PA0567,622726
PA0568,622894,623352,-,PA0568,623352
PA0569,623368,623838,-,PA0569,623838
PA0570,623852,624199,-,PA0570,624199
PA0571,624189,624803,-,PA0571,624803
PA0572,624994,627765,-,PA0572,627765
PA0573,628335,628670,-,PA0573,628670
PA0574,628763,629884,-,PA0574,629884
PA0574.1,630434,630510,-,PA0574.1,630510
PA0575,630527,634264,-,PA0575,634264
PA0576,634371,636224,-,rpoD,636224
PA0577,636304,638298,-,dnaG,638298
PA0578,638381,638830,-,PA0578,638830
PA0579,638900,639115,-,rpsU,639115
PA0580,639316,640341,+,gcp,639316
PA0581,640420,640989,-,PA0581,640989
PA0582,641073,641426,+,folB,641073
PA0583,641417,641959,+,PA0583,641417
PA0584,641932,643164,-,cca,643164
PA0585,643208,643714,-,PA0585,643714
PA0586,643808,645361,-,PA0586,645361
PA0587,645358,646629,-,PA0587,646629
PA0588,646730,648652,-,PA0588,648652
PA0589,648931,649263,-,PA0589,649263
PA0590,649307,650158,-,apaH,650158
PA0591,650158,650538,-,PA0591,650538
PA0592,650575,651381,-,ksgA,651381
PA0593,651497,652483,-,pdxA,652483
PA0594,652480,653772,-,surA,653772
PA0595,653753,656527,-,ostA,656527
PA0596,656654,657670,+,PA0596,656654
PA0597,657667,658341,+,PA0597,657667
PA0598,658343,659101,+,PA0598,658343
PA0599,659102,660163,-,PA0599,660163
PA0600,660315,662708,+,PA0600,660315
PA0601,662754,663386,+,PA0601,662754
PA0602,663515,664549,+,PA0602,663515
PA0603,664783,665892,+,PA0603,664783
PA0604,665948,666994,+,PA0604,665948
PA0605,667108,668355,+,PA0605,667108
PA0606,668461,669291,+,PA0606,668461
PA0607,669415,670089,+,rpe,669415
PA0608,670089,670907,+,PA0608,670089
PA0609,670980,672458,+,trpE,670980
PA0610,672777,673091,-,prtN,673091
PA0611,673191,673961,-,prtR,673961
PA0612,674419,674619,+,ptrB,674419
PA0613,674667,675026,+,PA0613,674667
PA0614,675390,675839,+,PA0614,675390
PA0615,675861,676376,+,PA0615,675861
PA0616,676373,676930,+,PA0616,676373
PA0617,677083,677409,+,PA0617,677083
PA0618,677406,678293,+,PA0618,677406
PA0619,678286,678819,+,PA0619,678286
PA0620,678821,680896,+,PA0620,678821
PA0621,680893,681351,+,PA0621,680893
PA0622,681394,682554,+,PA0622,681394
PA0623,682567,683070,+,PA0623,682567
PA0624,683085,683429,+,PA0624,683085
PA0625,683599,685836,+,PA0625,683599
PA0626,685846,686718,+,PA0626,685846
PA0627,686693,686899,+,PA0627,686693
PA0628,686957,687946,+,PA0628,686957
PA0629,687979,688608,+,PA0629,687979
PA0630,688605,688967,+,PA0630,688605
PA0631,688964,689221,+,PA0631,688964
PA0633,689537,690031,+,PA0633,689537
PA0634,690043,690390,+,PA0634,690043
PA0635,690420,690674,+,PA0635,690420
PA0636,690721,692556,+,PA0636,690721
PA0637,692549,692890,+,PA0637,692549
PA0638,692898,693593,+,PA0638,692898
PA0639,693596,694366,+,PA0639,693596
PA0640,694421,695023,+,PA0640,694421
PA0641,695082,698696,+,PA0641,695082
PA0643,699744,700835,+,PA0643,699744
PA0644,700835,701170,+,PA0644,700835
PA0645,701151,701381,+,PA0645,701151
PA0646,701477,702529,+,PA0646,701477
PA0647,702529,702831,+,PA0647,702529
PA0648,702828,703058,+,PA0648,702828
PA0649,703477,704082,+,trpG,703477
PA0650,704084,705133,+,trpD,704084
PA0651,705130,705966,+,trpC,705130
PA0652,706028,706672,-,vfr,706672
PA0653,706944,707366,+,PA0653,706944
PA0654,707686,708480,+,speD,707686
PA0655,708535,709182,-,PA0655,709182
PA0656,709282,709620,-,PA0656,709620
PA0657,709699,711180,+,PA0657,709699
PA0658,711220,712020,-,PA0658,712020
PA0659,712081,713157,-,PA0659,713157
PA0660,713279,714247,-,PA0660,714247
PA0661,714264,714686,-,PA0661,714686
PA0662,714977,716011,+,argC,714977
PA0663,716011,716730,+,PA0663,716011
PA0664,716731,717153,+,PA0664,716731
PA0665,717231,717581,+,PA0665,717231
PA0666,717635,718726,-,PA0666,718726
